|                                                    name |         ra_h |         dec_d | WEBDA | OPENCLUST | Camargo | MWSC |   N_d |    dist_pc |      lon_d |      lat_d |       x_pc |       y_pc |       z_pc |
|                                           Collinder 427 |    20h59m30s |     68d10m00s |   411 |        -- |      -- |   -- |     1 |        nan |   103.9364 |    14.3474 |        nan |        nan |        nan |
|                                  ESO 464-09, ESO 464-09 |    20h59m37s |    -29d23m27s |   687 |        -- |      -- | 1044 |     2 |     515.50 |    15.9189 |   -39.4358 |   -7918.15 |     109.20 |    -301.70 |
|                                 NGC 7023, Collinder 427 |    21h01m06s |   68d09m53.5s |  1380 |      1953 |      -- |   -- |     2 |        nan |   104.0316 |    14.2306 |        nan |        nan |        nan |
|                                  Teutsch 22, Teutsch 22 |    21h01m41s |   44d06m57.5s |    -- |      1955 |      -- | 2331 |     2 |    2664.50 |    85.6817 |    -1.5167 |   -8099.63 |    2656.01 |     -44.17 |
|                                      FSR 0273, FSR 0273 |    21h01m42s |   44d48m25.5s |    -- |      1954 |      -- | 2347 |     2 |    2220.00 |    86.2024 |    -1.0620 |   -8153.08 |    2214.74 |     -14.62 |
|                                                 BDSB 19 |    21h01m46s |     33d33m00s |    -- |        -- |      -- | 2116 |     1 |    7514.00 |    77.6970 |    -8.4772 |   -6719.96 |    7261.23 |   -1085.82 |
|                                      NGC 7011, NGC 7011 |    21h01m49s |     47d21m12s |  1379 |      1956 |      -- |   -- |     2 |     618.00 |    88.1254 |     0.6071 |   -8279.72 |     617.63 |      33.48 |
|                                                NGC 7005 |    21h01m57s |    -12d52m50s |  1378 |        -- |      -- |   -- |     1 |        nan |    35.8101 |   -34.7111 |        nan |        nan |        nan |
|                                      FSR 0282, FSR 0282 |  21h02m15.5s |     48d06m39s |    -- |      1957 |      -- | 2393 |     2 |    2533.00 |    88.7424 |     1.0529 |   -8244.22 |    2531.96 |      73.37 |
|                                               MWSC 4602 |    21h02m46s |     10d45m54s |    -- |        -- |      -- | 1771 |     1 |    1274.00 |    59.2951 |   -22.8844 |   -7702.25 |    1009.18 |    -470.37 |
|                   Berkeley 54, Berkeley 54, Berkeley 54 |    21h03m06s |     40d27m12s |   226 |      1959 |      -- | 2254 |     3 |    2945.33 |    83.1063 |    -4.1374 |   -7948.05 |    2916.42 |    -186.64 |
|                            Collinder 428, Collinder 428 |    21h03m12s |     44d35m00s |   412 |      1958 |      -- |   -- |     2 |     500.00 |    86.2116 |    -1.4100 |   -8266.97 |     498.76 |      14.59 |
|                                                FSR 0253 |    21h03m31s |     39d58m48s |    -- |        -- |      -- | 2246 |     1 |    1414.00 |    82.8037 |    -4.5107 |   -8123.74 |    1398.52 |     -84.78 |
|                                        SAI 141, SAI 141 |    21h03m46s |     46d58m31s |    -- |      1960 |      -- | 2379 |     2 |    4940.00 |    88.0628 |     0.1082 |   -8132.93 |    4937.17 |      35.79 |
|                                Teutsch 156, Teutsch 156 |  21h03m46.5s |     47d12m27s |    -- |      1961 |      -- | 2383 |     2 |    4669.00 |    88.2369 |     0.2619 |   -8156.23 |    4666.74 |      47.88 |
|                                                LDN 988e |    21h04m07s |     50d15m00s |    -- |        -- |      -- | 2421 |     1 |     700.00 |    90.5434 |     2.2475 |   -8306.50 |     699.43 |      54.47 |
|                                      FSR 0270, FSR 0270 |    21h04m11s |   44d20m49.5s |    -- |      1962 |      -- | 2337 |     2 |    1758.00 |    86.1521 |    -1.6982 |   -8182.20 |    1753.27 |     -25.48 |
|                                                FSR 0310 |    21h05m11s |     55d19m24s |    -- |        -- |      -- | 2517 |     1 |    5288.00 |    94.4432 |     5.5079 |   -8706.07 |    5247.77 |     535.89 |
|                                                 BDSB 21 |    21h05m21s |     49d39m24s |    -- |        -- |      -- | 2412 |     1 |    1285.00 |    90.2343 |     1.7035 |   -8305.08 |    1284.42 |      65.22 |
|                                               MWSC 4606 |    21h06m07s |    -11d28m12s |    -- |        -- |      -- | 1422 |     1 |     956.00 |    37.8911 |   -35.0460 |   -7684.08 |     480.69 |    -523.97 |
|                            NGC 7024, NGC 7024, NGC 7024 |    21h06m11s |     41d29m30s |  1381 |      1963 |      -- | 2281 |     3 |    1091.00 |    84.2712 |    -3.8795 |   -8191.54 |    1083.06 |     -47.17 |
|                            NGC 7031, NGC 7031, NGC 7031 |    21h07m09s |     50d52m30s |  1382 |      1964 |      -- | 2430 |     3 |     966.67 |    91.3308 |     2.3087 |   -8322.26 |     965.62 |      66.02 |
|                                      FSR 0288, FSR 0288 |    21h08m09s |   49d00m21.5s |    -- |      1965 |      -- | 2405 |     2 |    1734.00 |    90.0601 |     0.9282 |   -8301.68 |    1733.77 |      55.10 |
|                                               MWSC 5764 |    21h09m34s |     19d29m12s |    -- |        -- |      -- | 1906 |     1 |    2297.00 |    67.7718 |   -18.8746 |   -7480.15 |    2011.96 |    -718.74 |
|                                              Dolidze 55 |    21h09m50s |     40d36m36s |    -- |        -- |      -- | 2258 |     1 |    1584.00 |    84.0830 |    -4.9821 |   -8137.73 |    1569.61 |    -111.09 |
|                            NGC 7036, NGC 7036, NGC 7036 |    21h10m02s |     15d31m00s |  1383 |      1966 |      -- | 1845 |     3 |    1023.00 |    64.5442 |   -21.4428 |   -7891.91 |     859.75 |    -348.31 |
|                      Dolidze 45, Dolidze 45, Dolidze 45 |  21h10m20.5s |     37d33m43s |   532 |      1968 |      -- | 2197 |     3 |    1952.00 |    81.8935 |    -7.1176 |   -8027.61 |    1917.60 |    -215.75 |
|                            Basel 12, Basel 12, Basel 12 |    21h10m28s |     46d14m03s |   167 |      1967 |      -- | 2365 |     3 |    2865.33 |    88.2913 |    -1.2413 |   -8214.74 |    2863.39 |     -35.35 |
|                                                FSR 0368 |    21h10m48s |     68d32m42s |    -- |        -- |      -- | 2812 |     1 |    1513.00 |   104.9258 |    13.7929 |   -8677.24 |    1419.79 |     388.95 |
|                   Berkeley 91, Berkeley 91, Berkeley 91 |    21h10m52s |     48d32m06s |   266 |      1971 |      -- | 2398 |     3 |    5323.67 |    90.0190 |     0.2797 |   -8301.64 |    5323.60 |      53.01 |
|                                        SAI 143, SAI 143 |    21h10m52s |   50d18m00.5s |    -- |      1970 |      -- | 2423 |     2 |    7759.50 |    91.3085 |     1.4854 |   -8476.43 |    7754.87 |     228.72 |
|                            NGC 7037, NGC 7037, NGC 7037 |  21h10m54.5s |     33d44m51s |  1384 |      1972 |      -- | 2127 |     3 |    1410.33 |    79.1222 |    -9.7728 |   -8038.45 |    1364.89 |    -213.24 |
|                            NGC 7039, NGC 7039, NGC 7039 |  21h10m55.5s |     45d40m30s |  1385 |      1969 |      -- | 2358 |     3 |    1150.67 |    87.9368 |    -1.6812 |   -8258.66 |    1149.43 |      -6.89 |
|                                                Riddle 6 |    21h11m48s |     59d57m54s |    -- |        -- |      -- | 2618 |     1 |    1198.00 |    98.5038 |     7.9709 |   -8474.86 |    1173.38 |     193.70 |
|                            Kronberger 80, Kronberger 80 |    21h11m50s |     52d22m45s |    -- |      1973 |      -- | 2463 |     2 |    3165.50 |    92.9301 |     2.7966 |   -8461.07 |    3157.60 |     181.98 |
|                            ASCC 113, ASCC 113, ASCC 113 |    21h12m01s |  38d36m17.75s |    45 |      1974 |      -- | 2225 |     3 |     467.00 |    82.8908 |    -6.6525 |   -8242.72 |     460.29 |     -27.29 |
|                               IC 1369, IC 1369, IC 1369 |    21h12m09s |     47d44m39s |   768 |      1975 |      -- | 2390 |     3 |    2232.00 |    89.5892 |    -0.4177 |   -8284.00 |    2231.88 |      10.68 |
|                                                FSR 0302 |    21h12m20s |     52d31m58s |    -- |      1977 |      -- |   -- |     1 |        nan |    93.0943 |     2.8464 |        nan |        nan |        nan |
|                            Basel 13, Basel 13, Basel 13 |    21h12m27s |     46d32m54s |   168 |      1976 |      -- | 2371 |     3 |    1261.67 |    88.7545 |    -1.2757 |   -8272.63 |    1261.06 |      -1.18 |
|                                                FSR 0265 |    21h12m49s |     42d00m00s |    -- |        -- |      -- | 2299 |     1 |    1476.00 |    85.4868 |    -4.4447 |   -8184.53 |    1467.00 |     -87.76 |
|                            NGC 7044, NGC 7044, NGC 7044 |  21h13m09.5s |     42d29m42s |  1386 |      1978 |      -- | 2311 |     3 |    3219.33 |    85.8914 |    -4.1512 |   -8070.66 |    3202.64 |    -206.78 |
|                                             Majaess 211 |    21h13m15s |     46d22m09s |    -- |      1979 |      -- |   -- |     1 |        nan |    88.7191 |    -1.4989 |        nan |        nan |        nan |
|                                      NGC 7050, NGC 7050 |  21h15m12.5s |     36d10m09s |  1387 |        -- |      -- | 2173 |     2 |     842.50 |    81.5310 |    -8.7784 |   -8177.75 |     823.55 |    -101.97 |
|                            Basel 15, Basel 15, Basel 15 |  21h15m54.5s |     48d51m06s |   170 |      1980 |      -- | 2402 |     3 |    1137.00 |    90.8218 |    -0.1050 |   -8316.27 |    1136.88 |      24.97 |
|                                                FSR 0291 |    21h16m30s |     48d21m18s |    -- |        -- |      -- | 2396 |     1 |    3529.00 |    90.5331 |    -0.5208 |   -8332.89 |    3528.70 |      -4.96 |
|                   Berkeley 55, Berkeley 55, Berkeley 55 |    21h16m59s |     51d45m43s |   227 |      1981 |      -- | 2449 |     3 |    2297.00 |    93.0307 |     1.7981 |   -8421.10 |    2292.66 |      99.47 |
|                   Berkeley 56, Berkeley 56, Berkeley 56 |    21h17m40s |     41d50m24s |   228 |      1982 |      -- | 2291 |     3 |   12460.00 |    85.9961 |    -5.2076 |   -7437.22 |   12378.29 |   -1106.71 |
|                                                FSR 0271 |    21h18m40s |     41d55m12s |    -- |        -- |      -- | 2294 |     1 |    1599.00 |    86.1841 |    -5.2852 |   -8194.47 |    1588.67 |    -120.63 |
|                            NGC 7055, NGC 7055, NGC 7055 |    21h19m32s |     57d35m18s |  1388 |      1983 |      -- | 2558 |     3 |    1074.33 |    97.4650 |     5.6071 |   -8438.52 |    1060.13 |     132.42 |
|                                                FSR 0346 |    21h19m55s |     62d20m48s |    -- |        -- |      -- | 2723 |     1 |    2820.00 |   100.9333 |     8.8949 |   -8826.96 |    2735.51 |     464.75 |
|                                               Chereul 3 |    21h20m12s |      2d12m54s |   350 |        -- |      -- |   -- |     1 |      89.00 |    54.1981 |   -31.3284 |   -8255.63 |      61.66 |     -19.42 |
|                                                 BDSB 23 |    21h20m24s |     55d28m12s |    -- |        -- |      -- | 2523 |     1 |    5883.00 |    96.0353 |     4.0347 |   -8915.62 |    5835.89 |     442.95 |
|                            Basel 14, Basel 14, Basel 14 |    21h21m10s |     44d49m15s |   169 |      1984 |      -- | 2348 |     3 |    1243.33 |    88.5752 |    -3.5711 |   -8269.35 |    1240.54 |     -50.54 |
|                                Teutsch 144, Teutsch 144 |    21h21m43s |     50d36m28s |    -- |      1986 |      -- | 2424 |     2 |    2376.00 |    92.7314 |     0.4592 |   -8413.11 |    2373.22 |      46.41 |
|                      ESO 236-07, ESO 236 07, ESO 236-07 |    21h21m43s |    -51d50m18s |   614 |      1985 |      -- |  547 |     3 |    1955.33 |   345.7799 |   -43.9332 |   -6939.39 |    -345.90 |   -1334.08 |
|                                      NGC 7058, NGC 7058 |    21h21m53s |   50d49m08.5s |  1389 |      1987 |      -- |   -- |     2 |     402.00 |    92.8991 |     0.5904 |   -8320.27 |     401.46 |      31.21 |
|                                                FSR 0347 |    21h22m18s |     62d34m48s |    -- |        -- |      -- | 2728 |     1 |    2953.00 |   101.2971 |     8.8608 |   -8870.05 |    2861.22 |     483.73 |
|                                                FSR 0379 |    21h22m26s |     69d19m48s |    -- |        -- |      -- | 2821 |     1 |    2396.00 |   106.2476 |    13.5508 |   -8949.84 |    2236.27 |     590.52 |
|                                      FSR 0295, FSR 0295 |  21h22m38.5s |   49d52m01.5s |    -- |      1988 |      -- | 2413 |     2 |    1230.00 |    92.3147 |    -0.1708 |   -8349.64 |    1228.99 |      23.50 |
|                            NGC 7062, NGC 7062, NGC 7062 |    21h23m27s |     46d23m03s |  1390 |      1989 |      -- | 2368 |     3 |    1663.33 |    89.9628 |    -2.7441 |   -8299.14 |    1661.43 |     -52.63 |
|                                      FSR 0296, FSR 0296 |    21h23m56s |   49d55m33.5s |    -- |      1990 |      -- | 2417 |     2 |    2400.00 |    92.5042 |    -0.2748 |   -8404.85 |    2397.68 |      15.83 |
|                            NGC 7067, NGC 7067, NGC 7067 |    21h24m18s |     48d00m54s |  1392 |      1992 |      -- | 2392 |     3 |    3166.67 |    91.2096 |    -1.6819 |   -8367.08 |    3164.60 |     -65.72 |
|                            NGC 7063, NGC 7063, NGC 7063 |  21h24m26.5s |     36d29m27s |  1391 |      1991 |      -- | 2177 |     3 |     689.00 |    83.0746 |    -9.8928 |   -8218.50 |     673.80 |     -91.64 |
|                                      FSR 0304, FSR 0304 |  21h24m34.5s |     51d19m50s |    -- |      1993 |      -- | 2440 |     2 |    1423.00 |    93.5593 |     0.6580 |   -8388.24 |    1420.16 |      43.63 |
|                   Berkeley 92, Berkeley 92, Berkeley 92 |    21h24m47s |     57d31m57s |   267 |      1994 |      -- | 2556 |     3 |    4876.67 |    97.9251 |     5.0696 |   -8968.30 |    4811.20 |     460.11 |
|                                               MWSC 4622 |    21h26m02s |    -17d45m00s |    -- |        -- |      -- | 1290 |     1 |    1075.00 |    32.9242 |   -41.9430 |   -7631.12 |     434.60 |    -693.70 |
|                            Kronberger 81, Kronberger 81 |    21h26m10s |     53d31m59s |    -- |      1995 |      -- | 2484 |     2 |    7500.00 |    95.2687 |     2.0685 |   -8987.32 |    7463.45 |     299.96 |
|                                      NGC 7071, NGC 7071 |    21h26m39s |     47d55m12s |  1393 |      1996 |      -- |   -- |     2 |     842.00 |    91.4257 |    -2.0242 |   -8320.99 |     841.21 |      -2.67 |
|                                      FSR 0314, FSR 0314 |    21h27m50s |   53d44m43.5s |    -- |      1997 |      -- | 2489 |     2 |    1710.00 |    95.5942 |     2.0503 |   -8466.34 |    1700.77 |      88.72 |
|                                                FSR 0293 |    21h27m54s |     47d09m00s |    -- |        -- |      -- | 2382 |     1 |    2801.00 |    91.0442 |    -2.7257 |   -8351.37 |    2797.37 |    -106.03 |
|                                      FSR 0306, FSR 0306 |  21h28m21.5s |   51d37m51.5s |    -- |      1998 |      -- | 2447 |     2 |    2328.00 |    94.1919 |     0.4654 |   -8470.06 |    2321.70 |      46.47 |
|                                                 BDSB 24 |    21h28m53s |     54d36m30s |    -- |        -- |      -- | 2504 |     1 |    1535.00 |    96.3013 |     2.5690 |   -8468.04 |    1524.19 |      96.35 |
|                            NGC 7082, NGC 7082, NGC 7082 |  21h29m02.5s |     47d07m06s |  1394 |      1999 |      -- | 2381 |     3 |    1394.67 |    91.1631 |    -2.8826 |   -8328.46 |    1392.62 |     -43.04 |
|                         Platais 1, Platais 1, Platais 1 |    21h30m03s |     48d59m18s |  1462 |      2000 |      -- | 2404 |     3 |    2014.67 |    92.5713 |    -1.6395 |   -8390.49 |    2011.81 |     -30.34 |
|                            NGC 7086, NGC 7086, NGC 7086 |    21h30m27s |     51d36m15s |  1396 |      2001 |      -- | 2446 |     3 |    1398.67 |    94.4095 |     0.2230 |   -8407.47 |    1394.52 |      32.79 |
|                            NGC 7092, NGC 7092, NGC 7092 |    21h31m48s |     48d26m30s |  1397 |      2002 |      -- | 2397 |     3 |     320.67 |    92.4084 |    -2.2359 |   -8313.46 |     320.14 |      14.53 |
|                            NGC 7084, NGC 7084, NGC 7084 |    21h32m23s |     17d32m30s |  1395 |      2003 |      -- | 1878 |     3 |     674.67 |    69.9611 |   -24.2497 |   -8090.08 |     577.90 |    -250.78 |
|                                      FSR 0317, FSR 0317 |    21h32m37s |     53d45m33s |    -- |      2004 |      -- | 2490 |     2 |    1934.00 |    96.1189 |     1.5759 |   -8505.85 |    1922.25 |      80.86 |
|                                               MWSC 5377 |    21h33m34s |     78d15m24s |    -- |        -- |      -- | 2847 |     1 |    1434.00 |   113.5049 |    19.1913 |   -8838.55 |    1241.94 |     500.14 |
|                                      FSR 0307, FSR 0307 |  21h34m04.5s |   50d45m53.5s |    -- |      2005 |      -- | 2426 |     2 |    1500.00 |    94.2556 |    -0.7788 |   -8411.32 |    1495.73 |       6.98 |
|                            NGC 7093, NGC 7093, NGC 7093 |  21h34m23.5s |     45d56m24s |  1398 |      2006 |      -- | 2360 |     3 |    1428.33 |    91.0312 |    -4.3718 |   -8325.94 |    1423.95 |     -81.79 |
|                                      FSR 0312, FSR 0312 |    21h34m52s |     50d55m25s |    -- |      2007 |      -- | 2431 |     2 |    2700.00 |    94.4550 |    -0.7458 |   -8509.77 |    2691.61 |      -7.46 |
|                                      FSR 0320, FSR 0320 |    21h35m25s |     53d41m34s |    -- |      2008 |      -- | 2487 |     2 |    4724.00 |    96.3795 |     1.2472 |   -8824.39 |    4693.64 |     131.54 |
|                                                FSR 0389 |    21h35m33s |     69d49m12s |    -- |        -- |      -- | 2822 |     1 |    1988.00 |   107.4352 |    13.0885 |   -8878.67 |    1847.39 |     479.08 |
|                            Kronberger 84, Kronberger 84 |    21h35m35s |   53d30m03.5s |    -- |      2009 |      -- | 2483 |     2 |    1192.50 |    96.2690 |     1.0885 |   -8430.07 |    1185.16 |      50.08 |
|                                      FSR 0324, FSR 0324 |    21h36m10s |   53d48m35.5s |    -- |      2010 |      -- | 2491 |     2 |    4332.50 |    96.5403 |     1.2597 |   -8793.00 |    4303.26 |     123.85 |
|                                                 BDSB 22 |    21h36m27s |     52d27m54s |    -- |        -- |      -- | 2465 |     1 |    2014.00 |    95.6714 |     0.2323 |   -8498.95 |    2004.13 |      35.81 |
|                                                FSR 0386 |    21h36m41s |     69d16m00s |    -- |        -- |      -- | 2820 |     1 |    1135.00 |   107.1190 |    12.6185 |   -8625.17 |    1058.51 |     276.01 |
|                                               Chereul 2 |    21h37m18s |      6d00m48s |   349 |        -- |      -- |   -- |     1 |      97.00 |    60.7678 |   -32.5687 |   -8260.21 |      71.34 |     -25.35 |
|                                                FSR 0277 |    21h37m21s |     40d35m42s |    -- |        -- |      -- | 2257 |     1 |    3265.00 |    87.7983 |    -8.6784 |   -8177.56 |    3225.24 |    -466.04 |
|                                      FSR 0326, FSR 0326 |  21h38m05.5s |     53d49m05s |    -- |      2011 |      -- | 2492 |     2 |    8567.50 |    96.7574 |     1.0761 |   -9307.34 |    8506.48 |     191.19 |
|                       Trumpler 37, Trumpler 37, IC 1396 |    21h39m03s |     57d29m42s |  1722 |      2012 |      -- | 2555 |     3 |     756.67 |    99.3034 |     3.7348 |   -8421.86 |     745.13 |      76.69 |
|                                                FSR 0264 |    21h39m15s |     36d21m18s |    -- |        -- |      -- | 2175 |     1 |    2398.00 |    85.1651 |   -12.0560 |   -8103.93 |    2336.77 |    -474.50 |
|                            ASCC 114, ASCC 114, ASCC 114 |    21h40m01s |     53d58m03s |    46 |      2013 |      -- | 2496 |     3 |     563.33 |    97.0689 |     1.0002 |   -8369.24 |     558.97 |      37.06 |
|                                      FSR 0316, FSR 0316 |  21h40m53.5s |   52d18m30.5s |    -- |      2014 |      -- | 2459 |     2 |    1940.00 |    96.0746 |    -0.3344 |   -8505.29 |    1929.07 |      16.35 |
|                                                 BDSB 31 |    21h41m56s |     66d05m06s |    -- |        -- |      -- | 2798 |     1 |    1300.00 |   105.3045 |     9.9344 |   -8637.21 |    1235.10 |     252.38 |
|                            NGC 7129, NGC 7129, NGC 7129 |  21h42m56.5s |     66d06m42s |  1401 |      2015 |      -- | 2799 |     3 |     705.33 |   105.4000 |     9.8866 |   -8484.09 |     669.91 |     148.70 |
|                                      FSR 0323, FSR 0323 |    21h43m13s |   52d31m43.5s |    -- |      2016 |      -- | 2466 |     2 |    6699.00 |    96.4868 |    -0.4000 |   -9056.90 |    6655.95 |     -17.29 |
|                            NGC 7127, NGC 7127, NGC 7127 |    21h43m41s |     54d37m21s |  1399 |      2018 |      -- | 2505 |     3 |    1248.33 |    97.9023 |     1.1445 |   -8471.47 |    1236.23 |      52.49 |
|                                               MWSC 5779 |    21h43m43s |     25d49m12s |    -- |        -- |      -- | 2000 |     1 |    2642.00 |    78.3787 |   -20.3947 |   -7804.10 |    2425.62 |    -895.31 |
|                Barkhatova 2, Barkhatova 2, Barkhatova 2 |    21h43m49s |  51d06m25.25s |   162 |      2017 |      -- | 2434 |     3 |     925.33 |    95.6318 |    -1.5398 |   -8390.81 |     920.53 |       2.43 |
|                            NGC 7128, NGC 7128, NGC 7128 |    21h43m54s |     53d43m12s |  1400 |      2019 |      -- | 2488 |     3 |    2305.00 |    97.3397 |     0.4380 |   -8594.35 |    2286.05 |      45.58 |
|                                                FSR 0250 |    21h44m51s |     30d45m36s |    -- |        -- |      -- | 2077 |     1 |    2489.00 |    82.1430 |   -16.9661 |   -7976.88 |    2358.32 |    -700.36 |
|                                                FSR 0303 |    21h44m54s |     47d28m54s |    -- |        -- |      -- | 2387 |     1 |    6002.00 |    93.4086 |    -4.4113 |   -8657.25 |    5973.63 |    -433.48 |
|                            NGC 7142, NGC 7142, NGC 7142 |    21h45m11s |     65d47m00s |  1403 |      2020 |      -- | 2792 |     3 |    1995.33 |   105.3550 |     9.4891 |   -8820.02 |    1897.78 |     357.64 |
|                                  Teutsch 74, Teutsch 74 |    21h45m42s |   58d05m22.5s |    -- |      2021 |      -- | 2564 |     2 |    2990.00 |   100.3645 |     3.6036 |   -8836.21 |    2935.40 |     216.68 |
|                                               MWSC 5782 |    21h46m01s |     20d49m48s |    -- |        -- |      -- | 1923 |     1 |    1732.00 |    75.0087 |   -24.3281 |   -7894.04 |    1524.49 |    -687.84 |
|                                      FSR 0334, FSR 0334 |    21h46m10s |     55d26m31s |    -- |      2022 |      -- | 2522 |     2 |    2201.00 |    98.7041 |     1.5389 |   -8632.72 |    2174.87 |      87.20 |
|                                      FSR 0319, FSR 0319 |    21h46m35s |     51d24m54s |    -- |      2023 |      -- | 2443 |     2 |    1680.00 |    96.1614 |    -1.5846 |   -8480.35 |    1669.66 |     -18.87 |
|                                      FSR 0333, FSR 0333 |  21h47m09.5s |     54d56m01s |    -- |      2024 |      -- | 2513 |     2 |    6001.00 |    98.4859 |     1.0585 |   -9184.98 |    5934.29 |     140.74 |
|                                                NGC 7134 |    21h48m55s |    -12d58m24s |  1402 |        -- |      -- |   -- |     1 |        nan |    41.9795 |   -45.1404 |        nan |        nan |        nan |
|                                      FSR 0322, FSR 0322 |    21h50m16s |     51d12m29s |    -- |      2025 |      -- | 2439 |     2 |    1867.00 |    96.4728 |    -2.1111 |   -8510.50 |    1853.84 |     -41.09 |
|                                                FSR 0305 |    21h50m32s |     47d01m12s |    -- |        -- |      -- | 2380 |     1 |    2443.00 |    93.8471 |    -5.3789 |   -8463.89 |    2426.76 |    -201.48 |
|                                      FSR 0325, FSR 0325 |  21h50m39.5s |   51d22m38.5s |    -- |      2026 |      -- | 2441 |     2 |    1800.00 |    96.6274 |    -2.0187 |   -8507.77 |    1786.86 |     -35.73 |
|                                                FSR 0351 |    21h50m42s |     60d38m24s |    -- |        -- |      -- | 2646 |     1 |    1239.00 |   102.4924 |     5.1555 |   -8566.52 |    1204.77 |     139.21 |
|                                      FSR 0336, FSR 0336 |  21h50m52.5s |   55d13m50.5s |    -- |      2027 |      -- | 2514 |     2 |    1116.00 |    99.0853 |     0.9494 |   -8476.09 |    1101.85 |      46.07 |
|                                      FSR 0338, FSR 0338 |    21h51m44s |     55d19m17s |    -- |      2028 |      -- | 2516 |     2 |   14655.00 |    99.2374 |     0.9429 |  -10651.34 |   14462.99 |     275.83 |
|                               IC 5146, IC 5146, IC 5146 |  21h53m26.5s |     47d15m57s |   793 |      2029 |      -- | 2386 |     3 |     824.67 |    94.3883 |    -5.5000 |   -8363.02 |     818.46 |     -51.83 |
|                            NGC 7160, NGC 7160, NGC 7160 |    21h53m40s |     62d36m24s |  1404 |      2030 |      -- | 2732 |     3 |     792.67 |   104.0138 |     6.4598 |   -8490.39 |     764.19 |     116.80 |
|                                                FSR 0266 |    21h54m04s |     33d35m00s |    -- |        -- |      -- | 2121 |     1 |    1513.00 |    85.6180 |   -16.1423 |   -8190.28 |    1449.10 |    -394.01 |
|                   Berkeley 93, Berkeley 93, Berkeley 93 |    21h56m00s |     63d56m21s |   268 |      2031 |      -- | 2767 |     3 |    5644.33 |   105.0583 |     7.3367 |   -9752.01 |    5405.89 |     752.52 |
|                            ASCC 115, ASCC 115, ASCC 115 | 21h56m46.25s |  51d30m08.75s |    47 |      2032 |      -- | 2444 |     3 |     650.00 |    97.4507 |    -2.5148 |   -8384.25 |     643.89 |      -1.25 |
|                            ASCC 116, ASCC 116, ASCC 116 | 21h58m31.75s |     54d29m24s |    48 |      2033 |      -- | 2503 |     3 |    3833.33 |    99.4898 |    -0.3146 |   -8932.02 |    3780.82 |       8.01 |
|                                                FSR 0318 |    21h58m39s |     48d58m00s |    -- |        -- |      -- | 2403 |     1 |    7002.00 |    96.1307 |    -4.7023 |   -9047.09 |    6938.52 |    -544.58 |
|                            NGC 7175, NGC 7175, NGC 7175 |    21h58m55s |     54d48m15s |  1405 |      2034 |      -- | 2508 |     3 |    1476.67 |    99.7256 |    -0.0996 |   -8549.41 |    1455.44 |      25.25 |
|                                                FSR 0279 |    22h01m26s |     35d14m24s |    -- |        -- |      -- | 2147 |     1 |    1819.00 |    87.9337 |   -15.8313 |   -8238.47 |    1748.87 |    -469.43 |
|                                                FSR 0344 |    22h01m43s |     54d49m30s |    -- |        -- |      -- | 2509 |     1 |    2300.00 |   100.0595 |    -0.3268 |   -8701.73 |    2264.61 |      15.19 |
|                                      NGC 7193, NGC 7193 |    22h03m03s |     10d48m06s |  1406 |      2035 |      -- |   -- |     2 |     540.00 |    70.0936 |   -34.2791 |   -8149.02 |     419.54 |    -277.63 |
|                                                FSR 0437 |    22h04m05s |     76d22m36s |    -- |        -- |      -- | 2845 |     1 |    1731.00 |   113.4921 |    16.6771 |   -8959.33 |    1520.75 |     525.91 |
|                                              Dolidze 56 |    22h04m07s |     59d54m00s |    -- |        -- |      -- | 2614 |     1 |    7000.00 |   103.3525 |     3.5499 |   -9912.01 |    6797.71 |     465.68 |
|                            NGC 7209, NGC 7209, NGC 7209 |  22h05m00.5s |     46d31m03s |  1407 |      2037 |      -- | 2372 |     3 |    1195.33 |    95.5016 |    -7.3001 |   -8414.12 |    1180.18 |    -124.52 |
|                            ASCC 117, ASCC 117, ASCC 117 | 22h05m11.25s |     62d16m12s |    49 |      2036 |      -- | 2718 |     3 |    1300.00 |   104.8686 |     5.3799 |   -8631.67 |    1250.94 |     149.97 |
|                                      FSR 0341, FSR 0341 |    22h05m36s |     53d21m03s |    -- |      2038 |      -- | 2481 |     2 |    6000.00 |    99.6400 |    -1.8504 |   -9304.79 |    5912.19 |    -163.47 |
|             Collinder 471, Collinder 471, Collinder 471 |  22h06m55.5s |     71d59m15s |   420 |      2039 |      -- | 2833 |     3 |    1404.33 |   110.8793 |    13.0817 |   -8786.43 |    1278.06 |     346.44 |
|                                      FSR 0342, FSR 0342 |    22h07m47s |   53d07m22.5s |    -- |      2040 |      -- | 2478 |     2 |    2015.00 |    99.7710 |    -2.2266 |   -8641.92 |    1984.27 |     -50.17 |
|                    ASCC 118, Alessi Teutsch 5, ASCC 118 |  22h08m26.5s |  61d04m46.25s |    50 |      2041 |      -- | 2667 |     3 |     944.33 |   104.4798 |     4.1899 |   -8535.22 |     911.89 |      96.76 |
|                                      FSR 0358, FSR 0358 |    22h10m14s |   58d48m05.5s |    -- |      2042 |      -- | 2584 |     2 |    2578.00 |   103.3414 |     2.2031 |   -8894.07 |    2506.57 |     128.04 |
|                            NGC 7226, NGC 7226, NGC 7226 |  22h10m25.5s |     55d23m54s |  1408 |      2043 |      -- | 2519 |     3 |    2744.33 |   101.4038 |    -0.5951 |   -8842.63 |    2690.01 |       0.26 |
