|                                                    name |         ra_h |         dec_d | WEBDA | OPENCLUST | Camargo | MWSC |   N_d |    dist_pc |      lon_d |      lat_d |       x_pc |       y_pc |       z_pc |
|                                  ASCC 5, ASCC 5, ASCC 5 |  0h57m47.75s |     55d50m51s |   104 |        64 |      -- | 2532 |     3 |    1174.33 |   123.8309 |    -7.0131 |   -8949.33 |     968.20 |    -114.27 |
|             Skiff 1, Skiff J0058+68.4, Skiff J0058+68.4 |  0h58m18.25s |     68d27m59s |  1662 |        66 |      -- | 2811 |     3 |    1733.33 |   123.5649 |     5.6031 |   -9253.15 |    1437.42 |     199.34 |
|                                              Majaess 19 |     0h58m29s |     56d29m53s |    -- |        65 |      -- |   -- |     1 |        nan |   123.9100 |    -6.3603 |        nan |        nan |        nan |
|                                              Majaess 20 |     0h58m37s |     65d40m23s |    -- |        67 |      -- |   -- |     1 |        nan |   123.6720 |     2.8116 |        nan |        nan |        nan |
|                   Berkeley 62, Berkeley 62, Berkeley 62 |   1h01m03.5s |     63d56m33s |   235 |        68 |      -- | 2766 |     3 |    2052.33 |   123.9884 |     1.0905 |   -9446.92 |    1701.39 |      69.79 |
|                         Czernik 3, Czernik 3, Czernik 3 |   1h03m07.5s |     62d47m06s |   452 |        69 |      -- | 2739 |     3 |    1003.33 |   124.2677 |    -0.0564 |   -8864.89 |     829.17 |      27.85 |
|                                                 NGC 358 |     1h05m11s |     62d01m18s |    -- |        70 |      -- |   -- |     1 |        nan |   124.5435 |    -0.8071 |        nan |        nan |        nan |
|                              NGC 0366, NGC 366, NGC 366 |     1h06m29s |     62d13m36s |   948 |        71 |      -- | 2714 |     3 |    1923.33 |   124.6837 |    -0.5939 |   -9394.42 |    1581.48 |      10.63 |
|                Pfleiderer 1, Pfleiderer 1, Pfleiderer 1 |     1h08m04s |   65d39m15.5s |  1435 |        72 |      -- | 2791 |     3 |    3775.33 |   124.6465 |     2.8379 |  -10443.02 |    3102.06 |     220.89 |
|                              NGC 0381, NGC 381, NGC 381 |   1h08m22.5s |     61d34m51s |   949 |        73 |      -- | 2688 |     3 |    1165.33 |   124.9461 |    -1.2247 |   -8967.39 |     955.00 |       4.27 |
|                                                 BDSB 51 |     1h08m37s |     63d07m06s |    -- |        -- |      -- | 2748 |     1 |   12002.00 |   124.8723 |     0.3113 |  -15161.74 |    9846.64 |     114.54 |
|                                                FSR 0530 |     1h11m56s |     56d59m06s |    -- |        -- |      -- | 2545 |     1 |    3501.00 |   125.7353 |    -5.7751 |  -10335.44 |    2827.42 |    -318.67 |
|                               Stock 3, Stock 3, Stock 3 |   1h12m13.5s |     62d17m45s |  1682 |        74 |      -- | 2716 |     3 |     908.67 |   125.3454 |    -0.4785 |   -8825.63 |     741.16 |      21.12 |
|                                    Platais 2, Platais 2 |   1h13m25.5s |     32d03m15s |  1466 |        75 |      -- |   -- |     2 |     195.50 |   128.3434 |   -30.5864 |   -8404.69 |     132.00 |     -72.14 |
|                              NGC 0433, NGC 433, NGC 433 |   1h15m11.5s |     60d07m30s |   950 |        76 |      -- | 2623 |     3 |    2098.67 |   125.8890 |    -2.6103 |   -9529.26 |    1698.48 |     -64.58 |
|                              NGC 0436, NGC 436, NGC 436 |   1h15m58.5s |     58d48m42s |   951 |        77 |      -- | 2585 |     3 |    2804.67 |   126.1115 |    -3.9085 |   -9949.68 |    2260.54 |    -158.81 |
|                                      FSR 0534, FSR 0534 |     1h17m26s |     61d18m00s |    -- |        78 |      -- | 2676 |     2 |    1800.00 |   126.0486 |    -1.4143 |   -9359.02 |    1454.89 |     -13.98 |
|                                      FSR 0537, FSR 0537 |     1h18m57s |   60d20m54.5s |    -- |        79 |      -- | 2631 |     2 |    2075.00 |   126.3313 |    -2.3416 |   -9528.54 |    1670.24 |     -53.78 |
|                              NGC 0457, NGC 457, NGC 457 |     1h19m36s |     58d17m00s |   952 |        80 |      -- | 2570 |     3 |    2419.33 |   126.6374 |    -4.3857 |   -9740.05 |    1935.66 |    -153.32 |
|                                      FSR 0536, FSR 0536 |     1h19m44s |   63d04m03.5s |    -- |        81 |      -- | 2747 |     2 |    3001.00 |   126.1295 |     0.3717 |  -10069.27 |    2423.82 |      52.23 |
|                                                FSR 0544 |     1h19m50s |     52d40m00s |    -- |        -- |      -- | 2471 |     1 |    1799.00 |   127.2960 |    -9.9643 |   -9374.59 |    1409.55 |    -280.79 |
|                                      FSR 0538, FSR 0538 |   1h22m05.5s |   63d41m53.5s |    -- |        82 |      -- | 2761 |     2 |    2146.00 |   126.3200 |     1.0283 |   -9570.68 |    1728.80 |      69.65 |
|                                               MWSC 5558 |     1h22m43s |     37d57m54s |    -- |        -- |      -- | 2214 |     1 |    2020.00 |   129.7013 |   -24.4953 |   -9476.88 |    1414.28 |    -806.70 |
|                                      FSR 0542, FSR 0542 |   1h25m50.5s |   62d59m24.5s |    -- |        83 |      -- | 2744 |     2 |    1934.00 |   126.8264 |     0.3788 |   -9459.11 |    1548.05 |      43.56 |
|                                          SAI 14, SAI 14 |     1h26m02s |   62d37m10.5s |    -- |        84 |      -- | 2733 |     2 |    5773.00 |   126.8976 |     0.0145 |  -11765.96 |    4616.73 |      39.74 |
|                                                FSR 0560 |     1h27m59s |     44d09m18s |    -- |        -- |      -- | 2333 |     1 |    1907.00 |   129.8205 |   -18.2274 |   -9461.83 |    1391.19 |    -565.71 |
|                              NGC 0559, NGC 559, NGC 559 |  1h29m31.25s |   63d18m12.5s |   953 |        85 |      -- | 2754 |     3 |    1962.67 |   127.1939 |     0.7473 |   -9486.22 |    1563.32 |      56.46 |
|                                      FSR 0547, FSR 0547 |   1h29m48.5s |   60d42m53.5s |    -- |        86 |      -- | 2655 |     2 |    2800.00 |   127.6098 |    -1.8079 |  -10008.17 |    2217.02 |     -55.78 |
|                              NGC 0581, NGC 581, NGC 581 |   1h33m19.5s |     60d39m03s |   954 |        87 |      -- | 2649 |     3 |    2195.67 |   128.0453 |    -1.8044 |   -9652.65 |    1728.28 |     -37.73 |
|                                                FSR 0531 |     1h33m25s |     74d44m30s |    -- |        -- |      -- | 2841 |     1 |    3896.00 |   125.7419 |    12.0994 |  -10522.52 |    3091.97 |     850.87 |
|                                               Czernik 4 |     1h35m24s |     61d16m00s |   459 |        -- |      -- |   -- |     1 |    3010.00 |   128.1915 |    -1.1553 |  -10160.82 |    2365.22 |     -27.64 |
|                                    Czernik 4, Czernik 4 |   1h35m36.5s |   61d28m11.5s |    -- |        88 |      -- | 2683 |     2 |    1631.00 |   128.1816 |    -0.9509 |   -9308.11 |    1281.88 |       3.21 |
|                      Trumpler 1, Trumpler 1, Trumpler 1 |     1h35m40s |     61d16m45s |  1693 |        89 |      -- | 2674 |     3 |    2477.00 |   128.2210 |    -1.1376 |   -9832.32 |    1945.62 |     -17.19 |
|                              NGC 0609, NGC 609, NGC 609 |     1h36m23s |     64d32m12s |   955 |        90 |      -- | 2781 |     3 |    4153.67 |   127.7407 |     2.0854 |  -10840.18 |    3282.50 |     186.41 |
|                                      FSR 0546, FSR 0546 |     1h37m12s |   65d51m14.5s |    -- |        91 |      -- | 2794 |     2 |    2501.00 |   127.5941 |     3.3974 |   -9822.55 |    1978.19 |     180.17 |
|                                      FSR 0549, FSR 0549 |     1h39m39s |   65d55m14.5s |    -- |        92 |      -- | 2796 |     2 |    6001.00 |   127.8285 |     3.5084 |  -11972.25 |    4731.01 |     406.18 |
|                                      FSR 0551, FSR 0551 |     1h39m44s |   64d53m05.5s |    -- |        93 |      -- | 2786 |     2 |    3500.00 |   128.0302 |     2.4923 |  -10453.68 |    2754.29 |     186.20 |
|                                      FSR 0553, FSR 0553 |     1h40m59s |     64d30m51s |    -- |        94 |      -- | 2780 |     2 |    7500.00 |   128.2315 |     2.1534 |  -12937.03 |    5887.22 |     323.90 |
|                              NGC 0637, NGC 637, NGC 637 |   1h43m05.5s |     64d02m33s |   956 |        95 |      -- | 2769 |     3 |    2321.33 |   128.5480 |     1.7354 |   -9745.64 |    1814.65 |     102.00 |
|                                                FSR 0539 |     1h43m10s |     74d24m18s |    -- |        -- |      -- | 2840 |     1 |    2121.00 |   126.4569 |    11.8884 |   -9531.83 |    1669.34 |     467.95 |
|                              NGC 0657, NGC 657, NGC 657 |   1h43m22.5s |   55d50m17.5s |   958 |        96 |      -- | 2531 |     3 |    1102.00 |   130.2243 |    -6.2964 |   -9007.70 |     836.33 |     -91.56 |
|                              NGC 0654, NGC 654, NGC 654 |   1h43m59.5s |     61d53m33s |   957 |        97 |      -- | 2702 |     3 |    2079.00 |   129.0796 |    -0.3503 |   -9610.57 |    1613.84 |      18.55 |
|                              NGC 0659, NGC 659, NGC 659 |     1h44m23s |     60d40m18s |   959 |        98 |      -- | 2651 |     3 |    2058.67 |   129.3736 |    -1.5362 |   -9605.62 |    1590.83 |     -23.94 |
|                                              Majaess 26 |     1h45m40s |     64d16m08s |    -- |        99 |      -- |   -- |     1 |        nan |   128.7767 |     2.0143 |        nan |        nan |        nan |
|                              NGC 0663, NGC 663, NGC 663 |   1h46m10.5s |     61d13m48s |   960 |       101 |      -- | 2672 |     3 |    2157.33 |   129.4707 |    -0.9449 |   -9671.26 |    1665.13 |      -4.12 |
|                                  ASCC 6, ASCC 6, ASCC 6 |     1h47m15s |  57d42m17.75s |   115 |       102 |      -- | 2560 |     3 |    1250.00 |   130.3555 |    -4.3601 |   -9107.33 |     949.80 |     -65.41 |
|                      Berkeley 5, Berkeley 5, Berkeley 5 |     1h47m45s |     62d56m00s |   221 |       103 |      -- | 2742 |     3 |    6133.33 |   129.2871 |     0.7585 |  -12183.00 |    4746.68 |     120.83 |
|             Collinder 463, Collinder 463, Collinder 463 |  1h48m08.25s |     71d49m48s |   413 |       100 |      -- | 2831 |     3 |     734.67 |   127.3719 |     9.4487 |   -8739.44 |     575.93 |     149.04 |
|                              Collinder 21, Collinder 21 |   1h50m10.5s |     27d05m27s |   373 |        -- |      -- | 2025 |     2 |     700.00 |   138.7233 |   -33.9734 |   -8737.50 |     382.96 |    -362.74 |
|                                                      S1 |     1h50m51s |     61d05m28s |    -- |       104 |      -- |   -- |     1 |    2200.00 |   130.0513 |    -0.9567 |   -9715.51 |    1683.80 |      -5.13 |
|                      Berkeley 6, Berkeley 6, Berkeley 6 |  1h51m14.75s |     61d03m58s |   232 |       105 |      -- | 2666 |     3 |    2440.00 |   130.1036 |    -0.9701 |   -9871.63 |    1866.04 |      -9.20 |
|                                               MWSC 5571 |     1h51m45s |     41d30m00s |    -- |        -- |      -- | 2282 |     1 |    1397.00 |   134.8954 |   -19.9664 |   -9228.26 |     930.15 |    -447.02 |
|                                  IC 166, IC 166, IC 166 |   1h52m26.5s |     61d50m57s |   772 |       106 |      -- | 2700 |     3 |    4523.67 |   130.0610 |    -0.1753 |  -11211.41 |    3462.22 |      22.63 |
