#                
# https://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/A%2bA/623/A108/               
#                
Cluster RA_ICRS DE_ICRS logA e E Dist_mod e E AV e E AGTO e E Fe/H r
ASCC112 304.093 52.061 8.182 8.196 8.165 8.981 9.004 8.956 0.307 0.33 0.287 0.3 0.322 0.28 0 NC
ASCC113 317.933 38.638 8.629 8.677 8.522 8.613 8.633 8.591 0.094 0.113 0.077 0.092 0.11 0.075 0 NC
ASCC114 324.99 53.997 7.746 7.746 7.745 9.759 9.779 9.738 0.899 0.92 0.879 0.878 0.898 0.858 0 NC
ASCC115 329.28 51.558 8.022 8.187 7.941 9.246 9.283 9.205 0.629 0.667 0.59 0.614 0.651 0.576 0 NC
ASCC124 341.924 46.331 7.974 8.118 7.927 9.221 9.247 9.195 0.555 0.578 0.531 0.542 0.564 0.518 0 NC
ASCC128 349.949 54.435 8.486 8.575 8.362 9.047 9.08 9.013 0.453 0.484 0.421 0.442 0.472 0.411 0 NC
Alessi1 13.343 49.536 8.935 8.976 8.9 9.255 9.289 9.22 0.322 0.354 0.291 0.314 0.346 0.284 0 NC
Alessi2 71.602 55.199 8.759 8.803 8.617 8.846 8.872 8.818 0.482 0.506 0.455 0.47 0.494 0.444 0 NC
Alessi8 232.408 -51.227 8.137 8.236 8.083 9.11 9.141 9.079 0.318 0.346 0.287 0.31 0.338 0.28 0 NC
Alessi10 301.233 -10.555 7.746 7.777 7.698 8.416 8.474 8.375 0.423 0.466 0.38 0.413 0.455 0.371 0 NC
Alessi12 310.875 23.871 8.089 8.105 8.067 8.491 8.514 8.467 0.215 0.236 0.196 0.21 0.23 0.191 0 NC
Alessi19 274.741 12.311 7.38 7.399 7.366 8.779 8.813 8.735 0.158 0.181 0.132 0.154 0.177 0.129 0 NC
Alessi21 107.69 -9.363 7.816 7.839 7.79 8.631 8.66 8.601 0.248 0.272 0.225 0.242 0.265 0.22 0 NC
Alessi37 341.961 46.342 8.125 8.17 8.077 9.16 9.187 9.134 0.496 0.52 0.473 0.484 0.508 0.462 0 NC
Alessi60 105.619 -1.12 8.338 8.362 8.293 12.511 12.538 12.484 0.911 0.936 0.887 0.889 0.914 0.866 0 NC
Alessi62 284.026 21.597 8.964 8.997 8.937 8.799 8.823 8.776 0.603 0.627 0.579 0.589 0.612 0.565 0 NC
AlessiTeutsch3 118.228 -53.022 7.986 8.021 7.959 9.1 9.126 9.075 0.418 0.439 0.397 0.408 0.429 0.388 0 NC
AlessiTeutsch11 304.127 52.051 8.179 8.192 8.162 8.983 9.006 8.96 0.312 0.334 0.29 0.305 0.326 0.283 0 NC
AlessiTeutsch12 255.421 -58.981 7.977 8.146 7.926 8.923 8.961 8.886 0.376 0.406 0.338 0.367 0.396 0.33 0 NC
BH111 167.32 -63.834 8.438 8.689 7.567 12.062 12.114 12.01 1.094 1.145 1.043 1.068 1.118 1.018 0 NC
BH164 222.311 -66.465 7.81 7.892 7.605 7.991 8.045 7.928 0.381 0.414 0.326 0.372 0.404 0.318 0 NC
Basel4 87.242 30.19 8.135 8.245 7.941 12.658 12.695 12.622 1.525 1.562 1.491 1.489 1.525 1.455 0 NC
Basel11b 89.547 21.965 8.482 8.517 8.445 11.353 11.389 11.321 1.435 1.465 1.406 1.401 1.43 1.372 0 NC
Berkeley58 0.063 60.937 7.7 7.867 7.531 12.823 12.851 12.795 2.049 2.074 2.023 2 2.024 1.975 0 NC
Berkeley61 12.04 67.199 8.165 8.466 7.713 12.545 12.617 12.484 2.135 2.197 2.062 2.084 2.144 2.013 0 NC
Bochum3 105.86 -5.021 7.576 7.6 7.559 11.953 11.988 11.924 0.696 0.725 0.665 0.679 0.708 0.649 0 NC
Collinder185 125.833 -36.349 7.698 7.724 7.684 10.984 11.01 10.958 0.692 0.716 0.669 0.675 0.699 0.653 0 NC
Collinder258 186.798 -60.767 7.834 7.861 7.817 10.573 10.593 10.552 0.653 0.671 0.632 0.637 0.655 0.617 0 NC
Collinder268 199.543 -67.079 8.384 8.463 8.256 11.938 11.961 11.913 1.253 1.277 1.23 1.223 1.246 1.201 0 NC
Collinder292 237.41 -57.594 8.697 8.74 8.644 10.824 10.849 10.804 0.887 0.906 0.867 0.866 0.884 0.846 0 NC
Collinder338 264.483 -37.657 8.373 8.512 8.078 9.135 9.167 9.1 0.664 0.696 0.633 0.648 0.679 0.618 0 NC
Collinder394 283.092 -20.229 7.969 8.032 7.954 9.227 9.251 9.208 0.683 0.703 0.662 0.667 0.686 0.646 0 NC
Collinder463 27.031 71.738 8.427 8.436 8.424 9.53 9.543 9.516 0.836 0.848 0.823 0.816 0.828 0.803 0 NC
Czernik12 39.853 54.922 9.04 9.805 9.013 11.532 12.104 11.482 0.88 0.925 0.278 0.859 0.903 0.271 0 NC
Czernik19 74.258 28.763 8.003 8.169 7.763 12.28 12.317 12.243 1.949 1.987 1.912 1.902 1.94 1.866 0 NC
Czernik25 93.432 6.953 8.56 8.584 8.534 12.128 12.156 12.093 1.463 1.497 1.439 1.428 1.461 1.405 0 NC
Czernik31 114.238 -20.515 7.329 7.561 7.323 12.658 12.693 12.637 1.481 1.51 1.46 1.446 1.474 1.425 0 NC
ESO16604 137.602 -53.884 8.204 8.22 8.178 10.24 10.275 10.201 0.514 0.551 0.479 0.502 0.538 0.468 0 NC
ESO36811 116.086 -34.628 9.011 9.03 8.991 11.168 11.194 11.143 0.818 0.841 0.793 0.798 0.821 0.774 0 NC
FSR0357 337.723 53.951 7.881 8.017 7.646 13.265 13.305 13.223 1.422 1.461 1.382 1.388 1.426 1.349 0 NC
FSR0716 77.786 45.718 8.868 8.9 8.767 13.143 13.186 13.087 1.065 1.132 1.025 1.04 1.105 1.001 0 NC
FSR0735 73.471 40.859 8.445 8.498 8.364 12.624 12.655 12.594 1.426 1.457 1.397 1.392 1.422 1.364 0 NC
FSR0771 75.919 32.157 8.195 8.446 7.476 11.348 11.397 11.296 2.018 2.07 1.97 1.97 2.021 1.923 0 NC
FSR0866 103.823 29.745 9.255 9.27 9.228 10.885 10.917 10.857 0.487 0.512 0.457 0.475 0.5 0.446 0 NC
FSR0951 95.573 14.65 8.589 9.334 8.522 11.609 11.762 11.582 1.153 1.175 0.511 1.125 1.147 0.499 0 NC
FSR0968 92.843 11.863 7.912 8.183 7.513 11.931 11.972 11.892 1.17 1.21 1.131 1.142 1.181 1.104 0 NC
FSR1063 98.654 -0.265 8.403 8.508 8.113 11.791 11.839 11.741 1.768 1.816 1.72 1.726 1.773 1.679 0 NC
FSR1085 103.29 -0.192 7.825 7.87 7.781 10.876 10.912 10.846 0.446 0.476 0.418 0.435 0.465 0.408 0 NC
FSR1144 104.298 -6.628 7.611 8.96 7.592 11.617 11.769 11.581 0.849 0.882 0.557 0.829 0.861 0.544 0 NC
FSR1211 115.336 -9.607 9.028 9.034 9.021 12.515 12.537 12.488 0.286 0.308 0.26 0.279 0.301 0.254 0 NC
FSR1252 110.659 -18.703 8.82 8.826 8.807 12.82 12.842 12.79 1.036 1.063 1.015 1.011 1.038 0.991 0 NC
FSR1360 120.392 -34.483 8.193 8.259 7.927 11.988 12.019 11.955 1.159 1.187 1.128 1.131 1.159 1.101 0 NC
FSR1723 238.769 -46.014 8.452 8.6 7.7 10.821 10.866 10.788 1.079 1.11 1.029 1.053 1.083 1.004 0 NC
Ferrero11 93.646 0.637 8.554 8.602 8.496 9.512 9.547 9.476 0.571 0.604 0.54 0.557 0.59 0.527 0 NC
Gulliver1 161.582 -57.034 9.153 9.166 9.03 12.061 12.089 12.018 0.502 0.531 0.471 0.49 0.518 0.46 0 NC
Gulliver9 126.998 -47.929 7.154 9.001 7.127 8.302 8.345 7.503 0.138 0.155 0.093 0.135 0.151 0.091 0 NC
Gulliver20 273.736 11.082 8.289 8.934 8.021 7.983 8.021 7.944 0.149 0.173 0.125 0.145 0.169 0.122 0 NC
Gulliver21 106.961 -25.462 8.472 8.509 8.258 8.972 8.996 8.947 0.187 0.208 0.168 0.183 0.203 0.164 0 NC
Gulliver36 123.185 -35.111 9.053 9.083 9.021 10.37 10.395 10.346 0.356 0.377 0.336 0.347 0.368 0.328 0 NC
Gulliver44 127.249 -38.095 9.182 9.202 9.157 9.925 9.95 9.9 0.502 0.522 0.486 0.49 0.51 0.474 0 NC
Haffner3 106.027 -6.133 8.64 8.718 8.457 12.201 12.244 12.154 1.135 1.183 1.093 1.108 1.155 1.067 0 NC
Haffner6 109.998 -13.151 8.734 8.76 8.69 13.163 13.189 13.136 1.46 1.486 1.432 1.425 1.45 1.398 0 NC
Haffner9 111.175 -17.001 8.648 8.672 8.613 12.354 12.382 12.324 1.611 1.637 1.584 1.572 1.598 1.546 0 NC
Haffner13 115.209 -30.073 7.497 7.514 7.474 8.634 8.663 8.604 0.168 0.188 0.145 0.164 0.184 0.142 0 NC
Haffner14 116.182 -28.384 8.291 8.293 8.289 13.197 13.216 13.179 1.892 1.908 1.876 1.847 1.862 1.831 0 NC
Haffner21 120.288 -27.212 8.478 8.62 8.2 12.419 12.459 12.382 0.686 0.723 0.649 0.67 0.706 0.633 0 NC
Haffner22 123.108 -27.913 9.276 9.278 9.275 12.468 12.49 12.446 0.497 0.515 0.479 0.485 0.503 0.468 0 NC
Haffner23 107.389 -16.866 8.699 8.737 8.645 11.425 11.454 11.398 0.63 0.657 0.603 0.615 0.641 0.589 0 NC
Haffner26 123.911 -30.851 8.708 8.741 8.675 12.326 12.352 12.297 0.569 0.599 0.548 0.555 0.585 0.535 0 NC
Harvard10 244.859 -54.957 7.899 7.971 7.86 9.548 9.573 9.526 0.722 0.743 0.7 0.705 0.725 0.683 0 NC
IC2157 91.183 24.091 7.618 7.912 7.469 11.909 11.948 11.873 1.507 1.541 1.467 1.471 1.504 1.432 0 NC
King4 39.028 59.024 7.646 7.837 7.439 12.446 12.484 12.41 2.411 2.447 2.374 2.353 2.389 2.317 0 NC
King20 353.305 58.469 8.543 8.644 8.343 11.478 11.527 11.428 2.067 2.118 2.02 2.018 2.067 1.972 0 NC
Koposov12 90.245 35.287 8.542 8.561 8.524 12.1 12.125 12.075 1.531 1.554 1.508 1.494 1.517 1.472 0 NC
Loden1194 212.006 -59.786 8.515 8.559 8.393 9.163 9.19 9.133 0.338 0.365 0.314 0.33 0.356 0.306 0 NC
Lynga2 216.085 -61.328 7.933 7.965 7.914 9.862 9.885 9.839 0.691 0.71 0.669 0.674 0.693 0.653 0 NC
Mamajek4 276.635 -50.772 8.824 8.871 8.761 8.029 8.057 8.005 0.199 0.222 0.175 0.194 0.217 0.171 0 NC
NGC0225 10.805 61.774 8.254 8.668 7.879 9.249 9.29 9.206 0.821 0.862 0.781 0.801 0.841 0.762 0 NC
