GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
20.35,5,18 10 17,-08 49 19,2.4,2.4,Ryu 803,OC   ,     ,                                ,REF805                                         ,976
20.36,-0.14,18 28 43,-11 14 24,0.9,0.9,Ryu 804,OC   ,     ,                                ,REF805                                         ,977
20.49,4.26,18 13 12,-09 03 06,0.7,0.7,Ryu 805,OC   ,     ,                                ,REF805                                         ,979
20.6,0.02,18 28 54,-10 56 47,6,6,FNY 2,OC   ,     ,"in shell, RSGs, sup. GLIMPSE 8  ",REF1045                                        ,980
20.74,-1.27,18 33 34,-11 25 10,6,5,Ruprecht 144,OC   ,     ,                                ,"REF239,REF791                                  ",985
20.75,-2.27,18 37 11,-11 52 17,1,1,Ryu 242,OC   ,     ,                                ,REF805                                         ,987
20.86,4.3,18 13 46,-08 42 30,7,7,FSR 62,OC   ,     ,"contaminated, dust artifact?    ",REF507                                         ,989
21.01,-12.8,19 16 40,-16 16 37,48,44,NGC 6774,OC   ,     ,                                ,REF239                                         ,991
21.14,3.31,18 17 50,-08 55 47,0.9,0.9,Ryu 807,OC   ,     ,                                ,REF805                                         ,993
21.22,-4.28,18 45 23,-12 22 09,1.3,1.3,Ryu 808,OC   ,     ,                                ,REF805                                         ,994
21.24,2.28,18 21 42,-09 19 31,1,1,Ryu 809,OC   ,     ,                                ,REF805                                         ,995
21.26,4.14,18 15 05,-08 26 10,6,6,FSR 63,OC   ,     ,dust artifact? contaminated     ,"REF507,REF3033                                 ",997
21.41,-3.88,18 44 16,-12 00 59,1.4,1.4,Ryu 810,OC   ,     ,                                ,REF805                                         ,1001
21.62,2.18,18 22 45,-09 02 14,1,1,Ryu 813,OC   ,     ,                                ,REF805                                         ,1005
21.64,-0.78,18 33 28,-10 23 40,6.5,6.5,NGC 6649,OC   ,     ,                                ,REF239                                         ,1006
21.76,-3.39,18 43 07,-11 29 01,2.9,2.9,Ryu 243,OC   ,     ,                                ,REF805                                         ,1007
21.81,-19,19 41 40,-18 06 27,13,13,MWSC 5720,OC   ,     ,                                ,REF1098                                        ,1008
21.91,1.47,18 25 52,-09 06 58,1.2,1.2,Ryu 814,OC   ,     ,                                ,REF805                                         ,1011
21.92,-0.19,18 31 51,-09 52 39,1,1,Ryu 815,OC   ,     ,                                ,REF805                                         ,1012
21.99,22.92,17 10 28,+01 15 54,23,23,MWSC 4317,OC   ,     ,                                ,REF3031                                        ,1013
22.12,-3.22,18 43 11,-11 05 01,0.9,0.9,Ryu 816,OC   ,     ,                                ,REF805                                         ,1015
22.2,-1.51,18 37 08,-10 13 57,3,3,Teutsch 117,OC   ,     ,                                ,REF913                                         ,1016
22.27,0.01,18 31 47,-09 28 40,0.9,0.9,Ryu 817,OC   ,     ,                                ,REF805                                         ,1018
22.29,-3.12,18 43 07,-10 53 21,1,1,Ryu 818,OC   ,     ,                                ,REF805                                         ,1020
22.32,0.12,18 31 29,-09 22 47,1.2,1.2,Ryu 244,OC   ,     ,                                ,REF805                                         ,1022
22.4,-2.24,18 40 07,-10 23 33,0.7,0.7,Ryu 819,OC   ,     ,                                ,REF805                                         ,1024
22.45,2.24,18 24 07,-08 16 28,0.8,0.8,Ryu 821,OC   ,     ,                                ,REF805                                         ,1027
22.46,-1.56,18 37 47,-10 01 43,1.3,1.3,Ryu 245,OC   ,     ,                                ,REF805                                         ,1028
22.47,-10.23,19 09 31,-13 53 30,5,5,FSR 67,OC   ,     ,contaminated                    ,REF507                                         ,1029
22.5,3.93,18 18 11,-07 26 30,1.2,1.2,Ryu 822,OC   ,     ,                                ,REF805                                         ,1030
22.52,-0.27,18 33 15,-09 23 07,1.4,1.4,Ryu 246,OC   ,     ,                                ,REF805                                         ,1031
22.66,3.81,18 18 55,-07 21 29,0.9,0.9,Ryu 823,OC   ,     ,                                ,REF805                                         ,1032
23.25,0.44,18 32 03,-08 24 20,1.4,1.4,Ryu 825,OC   ,     ,                                ,REF805                                         ,1053
23.34,-2.47,18 42 43,-09 39 57,1.3,1.3,Ryu 826,OC   ,     ,                                ,REF805                                         ,1055
