

Results from heasarc_mwsc: Milky Way Star Clusters Catalog
Coordinate system:  Equatorial
|source_number|name             |broad_type|cluster_status|ra      |dec     |lii    |bii    |core_radius|central_radius|cluster_radius|pm_ra  |pm_dec |pm_tot_error|rad_vel |rad_vel_error|num_rad_vel_stars|num_core_stars|num_central_stars|num_cluster_stars|distance|e_bv   |distance_modulus|e_jk   |e_jh   |delta_h|log_age|log_age_error|num_log_age_stars|king_core_radius|king_core_radius_error|king_tidal_radius|king_tidal_radius_error|king_norm_factor|king_norm_factor_error|reference_code|cluster_type|metallicity|metallicity_error|num_metallicity_stars|comments                                                                                                                                                                                                                                                 |class                                              |
|         1654|E 3              |g         |o             |09 20 57|-77 16.9|292.268|-19.017|      0.010|         0.060|         0.100|  -2.51|   2.84|        1.32|        |             |                 |             1|               13|               25|    8104|  0.300|          14.640|  0.144|  0.096| -0.030|  9.900|             |                 |            1.67|                  0.81|            20.57|                  10.53|            0.45|                  0.22|HARR          |glo         |     -0.745|                 |                   13|Poor.                                                                                                                                                                                                                                                    |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         4668|MWSC 4668        |          |              |22 56 56|-77 10.2|310.709|-38.176|      0.030|         0.125|         0.180|   8.19|  -5.04|        1.17|        |             |                 |             2|               15|               22|     775|  0.167|           9.500|  0.080|  0.053| -0.020|  9.100|             |                 |            0.49|                  0.25|             3.70|                   2.01|            8.09|                  2.71|AIPk          |            |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         2083|FSR 1639         |r         |o             |13 09 16|-77 08.1|303.955|-14.299|      0.025|         0.110|         0.195| -15.29|  -3.86|        0.89|        |             |                 |             3|               28|               80|    7943|  0.000|          14.500|  0.000|  0.000|  0.000|  9.300|             |                 |            9.39|                  5.28|            53.79|                  29.16|            0.03|                  0.01|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          319|NGC 1520         |r         |c             |03 57 52|-76 48.0|291.141|-35.701|      0.020|         0.090|         0.130|   4.96|  -3.37|        1.68|        |             |                 |             1|                8|               10|    1023|  0.000|          10.049|  0.000|  0.000|  0.000|  9.430|             |                1|            0.73|                  0.35|             4.53|                   2.13|            3.75|                  1.08|DIAS          |non         |           |                 |                    0|Dias: non-existent NGC/not found in DSS; NKh: old cluster.                                                                                                                                                                                               |                                  OPEN STAR CLUSTER|
|         1673|FSR 1577         |          |              |09 28 46|-76 05.1|291.661|-17.875|      0.018|         0.085|         0.150|  -4.92|   1.35|        0.94|        |             |                 |             5|               32|               81|    1561|  0.104|          11.001|  0.050|  0.033|  0.000|  9.600|             |                 |            0.62|                  0.19|             7.74|                   2.57|            7.65|                  2.20|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1940|FSR 1598         |          |              |11 23 06|-75 00.9|297.203|-13.135|      0.018|         0.060|         0.110|  -9.20|   1.88|        1.12|        |             |                 |             7|               21|               58|    3575|  0.104|          12.800|  0.050|  0.033|  0.000|  9.700|             |                 |            0.93|                  0.26|            14.80|                   4.27|            2.58|                  0.80|FPOS          |            |           |                 |                    0|Center is shifted to 11.3850h,-75.015d; very old open cluster.                                                                                                                                                                                           |                                  OPEN STAR CLUSTER|
|         5676|MWSC 5676        |          |              |08 41 55|-74 45.9|288.644|-19.362|      0.018|         0.085|         0.145|  -3.29|   4.86|        0.98|        |             |                 |             4|               26|               58|    1604|  0.385|          11.150|  0.185|  0.123|  0.000|  9.150|             |                 |            1.04|                  0.24|             7.96|                   1.91|            5.03|                  0.88|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2529|ESO 043-13       |r         |o             |17 04 44|-74 21.0|317.734|-19.348|      0.020|         0.090|         0.140|  -1.75|  -4.16|        0.80|        |             |                 |             2|               31|               73|    1490|  0.104|          10.899|  0.050|  0.033|  0.000|  9.315|        0.044|                2|            0.61|                  0.30|             7.05|                   3.87|            4.26|                  1.64|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2159|FSR 1647         |          |              |13 45 41|-73 57.6|306.723|-11.489|      0.030|         0.095|         0.170|  -8.48|  -1.53|        0.88|        |             |                 |             6|               34|               96|    2436|  0.208|          12.000|  0.100|  0.067| -0.010|  9.455|             |                 |            1.56|                  0.44|            12.59|                   3.69|            1.85|                  0.38|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2112|FSR 1642         |          |              |13 22 48|-73 34.5|305.183|-10.840|      0.015|         0.080|         0.130|  -7.47|  -2.35|        0.91|        |             |                 |             1|               30|               78|    3211|  0.208|          12.600|  0.100|  0.067|  0.000|  9.500|             |                 |            4.26|                  1.61|            11.46|                   3.00|            0.79|                  0.35|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         4138|MWSC 4138        |          |              |09 27 07|-73 30.0|289.631|-16.165|      0.025|         0.120|         0.185|  -3.30|   6.47|        0.67|        |             |                 |             7|               51|              103|    1908|  0.458|          11.550|  0.220|  0.147|  0.000|  9.280|             |                 |            1.27|                  0.46|             9.90|                   3.84|            3.02|                  0.63|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5671|MWSC 5671        |          |              |07 05 06|-73 22.8|284.578|-24.946|      0.020|         0.105|         0.210|   1.95|   7.67|        1.02|        |             |                 |             2|               28|               64|    2001|  0.291|          11.600|  0.140|  0.093|  0.055|  9.400|             |                 |            1.39|                  0.45|            10.37|                   3.51|            3.29|                  0.63|ARIs          |            |           |                 |                    0|Possibly contaminated with Cluster of Galaxies ACO_S0603.                                                                                                                                                                                                |                                  OPEN STAR CLUSTER|
|         2453|FSR 1692         |r         |o             |16 45 14|-72 49.9|318.212|-17.349|      0.010|         0.070|         0.115|  -1.10|  -7.76|        1.06|        |             |                 |             2|               24|               65|    1781|  0.146|          11.300|  0.070|  0.047|  0.000|  9.450|             |                 |            0.54|                  0.19|             8.11|                   3.29|            6.66|                  2.35|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1720|FSR 1566         |r         |o             |09 50 35|-72 45.7|290.387|-14.460|      0.015|         0.085|         0.140|  -8.40|  -1.01|        1.01|        |             |                 |             2|               29|               72|    1537|  0.208|          11.000|  0.100|  0.067|  0.000|  9.430|        0.048|                5|            0.38|                  0.20|             7.67|                   4.69|            7.17|                  4.18|FPOS          |            |           |                 |                    0|Sparse; poor RDP.                                                                                                                                                                                                                                        |                                  OPEN STAR CLUSTER|
|         2029|NGC 4372         |g         |o             |12 25 45|-72 39.5|300.993| -9.884|      0.035|         0.200|         0.330| -11.08|   5.26|        0.40|   72.30|         1.20|                 |             2|              166|              406|    5807|  0.389|          13.945|  0.187|  0.125|  0.020| 10.100|             |                 |            7.32|                  0.65|            36.16|                   2.98|            2.25|                  0.13|HARR          |glo         |     -1.945|                 |                  166|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         2404|NGC 6101         |g         |o             |16 25 48|-72 12.1|317.746|-15.825|      0.025|         0.075|         0.125|  -2.98|  -0.46|        1.62|  361.40|         1.70|                 |             1|               16|               45|   15405|  0.052|          15.955|  0.025|  0.017|  0.030| 10.100|             |                 |            4.59|                  0.47|            60.95|                   7.02|            1.30|                  0.13|HARR          |glo         |     -1.545|                 |                   16|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         2214|FSR 1667         |r         |c             |14 21 41|-72 05.1|309.825|-10.432|      0.015|         0.095|         0.155|  -4.72|   2.48|        0.68|        |             |                 |             3|               57|              140|    5175|  0.250|          13.650|  0.120|  0.080|  0.000|  9.350|             |                 |            2.80|                  0.81|            27.20|                   8.53|            0.60|                  0.12|FPOS          |            |           |                 |                    0|Sparse; poor RDP; center is shifted to 14.3615h, -72.085d.                                                                                                                                                                                               |                                  OPEN STAR CLUSTER|
