

Results from heasarc_mwsc: Milky Way Star Clusters Catalog
Coordinate system:  Equatorial
|source_number|name             |broad_type|cluster_status|ra      |dec     |lii    |bii    |core_radius|central_radius|cluster_radius|pm_ra  |pm_dec |pm_tot_error|rad_vel |rad_vel_error|num_rad_vel_stars|num_core_stars|num_central_stars|num_cluster_stars|distance|e_bv   |distance_modulus|e_jk   |e_jh   |delta_h|log_age|log_age_error|num_log_age_stars|king_core_radius|king_core_radius_error|king_tidal_radius|king_tidal_radius_error|king_norm_factor|king_norm_factor_error|reference_code|cluster_type|metallicity|metallicity_error|num_metallicity_stars|comments                                                                                                                                                                                                                                                 |class                                              |
|          865|FSR 0929         |          |              |06 25 34|+17 43.2|194.262|  2.480|      0.010|         0.065|         0.145|  -0.51|  -3.25|        0.41|   47.20|             |                1|             2|               31|              113|    1296|  0.115|          10.600|  0.055|  0.037| -0.030|  8.495|             |                 |            0.36|                  0.15|             6.23|                   2.86|           11.69|                  5.28|DIAS          |irc         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          919|FSR 0935         |          |              |06 35 10|+17 44.5|195.296|  4.519|      0.020|         0.090|         0.135|   1.80|  -2.01|        0.29|        |             |                 |            10|               58|               89|    2955|  0.458|          12.500|  0.220|  0.147|  0.000|  8.800|             |                 |            1.41|                  0.27|            12.58|                   2.49|            4.87|                  0.70|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         3203|NGC 6839         |r         |o             |19 54 40|+17 52.2| 56.069| -5.209|      0.020|         0.085|         0.155|   1.15|  -7.87|        0.33|        |             |                 |             7|               65|              174|    5588|  0.354|          13.850|  0.170|  0.113|  0.000|  9.300|             |                 |            4.79|                  0.87|            17.86|                   2.08|            0.64|                  0.09|DIAS          |non         |           |                 |                    0|Dias: non-existent NGC/not found in DSS; NKh: old remnant; center is shifted to 19.9110h,+17.870d.                                                                                                                                                       |                                  OPEN STAR CLUSTER|
|         1019|NGC 2304         |          |              |06 55 12|+17 58.8|197.216|  8.897|      0.022|         0.080|         0.150|  -0.67|  -3.00|        0.38|   43.40|         0.35|                2|            10|               32|               63|    3896|  0.146|          13.000|  0.070|  0.047|  0.000|  8.835|             |                 |            1.14|                  0.40|            15.93|                   6.19|            1.71|                  0.61|DIAS          |            |     -0.320|                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          858|FSR 0927         |          |              |06 24 14|+18 01.0|193.852|  2.340|      0.025|         0.070|         0.165|  -0.47|  -1.68|        0.34|        |             |                 |             7|               43|              207|    2981|  0.895|          12.660|  0.430|  0.287|  0.020|  8.650|        0.041|                9|            1.28|                  0.43|            15.83|                   5.96|            1.91|                  0.55|DIAS          |irc         |           |                 |                    0|Poor RDP.                                                                                                                                                                                                                                                |                                  OPEN STAR CLUSTER|
|         2094|NGC 5024         |g         |o             |13 12 55|+18 10.1|332.959| 79.764|      0.035|         0.150|         0.250|  -0.69|  -5.03|        0.36|  -62.90|         0.30|                 |             1|               41|               45|   17892|  0.021|          16.270|  0.010|  0.007|  0.040| 10.100|             |                 |            4.28|                  0.31|            87.99|                   6.66|            3.64|                  0.31|HARR          |glo         |     -1.750|                 |                   41|M_53; PMs in center are poor/absent due to crowding.                                                                                                                                                                                                     |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|          533|FSR 0868         |          |              |05 24 56|+18 18.6|186.477| -9.681|      0.020|         0.090|         0.140|   0.86|  -2.20|        0.38|        |             |                 |             3|               38|               70|    2304|  0.583|          12.000|  0.280|  0.187|  0.010|  8.900|             |                 |            1.30|                  0.41|             7.10|                   2.03|            2.95|                  0.68|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         3198|Harvard 20       |          |              |19 53 12|+18 19.4| 56.283| -4.680|      0.015|         0.085|         0.135|  -0.95|  -4.98|        0.37|    5.15|         0.65|                2|             3|               52|              123|    1604|  0.229|          11.100|  0.110|  0.073|  0.000|  8.050|             |                 |            0.43|                  0.13|             7.96|                   2.67|           17.58|                  5.35|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         4301|MWSC 4301        |          |              |16 59 20|+18 21.6| 38.183| 32.718|      0.030|         0.190|         0.295|  -1.52|  -7.00|        0.40|        |             |                 |             2|               36|               68|    1355|  0.281|          10.750|  0.135|  0.090| -0.015|  9.415|             |                 |            1.88|                  0.75|            11.41|                   4.47|            1.87|                  0.33|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         3321|Alessi 11        |r         |o             |20 21 16|+18 23.4| 59.892|-10.298|      0.015|         0.105|         0.155|  -2.67|  -5.82|        0.36|        |             |                 |             3|               49|               92|    2973|  0.416|          12.500|  0.200|  0.133|  0.000|  9.085|        0.048|               14|            3.44|                  1.11|            11.37|                   2.86|            1.46|                  0.43|DREM          |ast         |           |                 |                    0|Sparse; center is shifted to 20.3545h,+18.390h.                                                                                                                                                                                                          |                                  OPEN STAR CLUSTER|
|         3196|FSR 0143         |          |              |19 52 12|+18 29.3| 56.304| -4.392|      0.020|         0.085|         0.165|   0.93|  -5.09|        0.40|        |             |                 |             5|               54|              187|    3065|  0.833|          12.700|  0.400|  0.267|  0.030|  8.820|        0.032|               16|            1.39|                  0.42|            16.75|                   5.72|            2.20|                  0.54|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          837|Skiff J0619+18.5 |          |              |06 19 22|+18 30.6|192.873|  1.549|      0.020|         0.060|         0.140|  -0.78|  -3.00|        0.35|        |             |                 |             6|               38|              174|    1380|  0.312|          10.800|  0.150|  0.100| -0.040|  7.900|             |                 |            2.42|                  0.73|             5.30|                   0.95|            7.05|                  3.17|DIAS          |            |           |                 |                    0|Very sparse; center is shifted to S by 0.023d.                                                                                                                                                                                                           |                                  OPEN STAR CLUSTER|
|         3138|Kronberger 79    |          |              |19 33 54|+18 31.7| 54.184| -0.605|      0.015|         0.050|         0.090|   3.03|  -3.09|        0.50|        |             |                 |             5|               25|               56|    3369|  1.437|          13.100|  0.690|  0.460|  0.000|  8.390|             |                 |            0.67|                  0.10|            10.40|                   1.79|           24.27|                  3.81|DIAS          |            |           |                 |                    0|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |                                  OPEN STAR CLUSTER|
|         3132|Teutsch 42       |          |              |19 30 13|+18 32.0| 53.768|  0.163|      0.010|         0.045|         0.085|  -2.59|  -6.94|        0.92|        |             |                 |             3|               18|               60|    2003|  2.769|          12.400|  1.330|  0.887| -0.010|  6.100|             |                 |            0.48|                  0.08|             3.16|                   0.43|           51.33|                  7.95|DIAS          |            |           |                 |                    0|Age has been strongly changed compared to Dias.                                                                                                                                                                                                          |                                  OPEN STAR CLUSTER|
|         5634|MWSC 5634        |          |              |04 35 20|+18 32.4|179.188|-19.099|      0.015|         0.080|         0.155|   2.81|  -2.88|        0.64|        |             |                 |             1|               14|               40|    1991|  0.479|          11.650|  0.230|  0.153| -0.030|  9.250|             |                 |            1.22|                  0.54|            11.15|                   5.35|            1.62|                  0.46|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2004|NGC 4147         |g         |o             |12 10 06|+18 32.6|252.846| 77.190|      0.015|         0.040|         0.060|  -6.86|  -6.00|        1.14|  183.20|         0.70|                 |             1|                8|               11|   19305|  0.021|          16.435|  0.010|  0.007|  0.030| 10.100|             |                 |            2.22|                  0.30|            34.40|                   4.42|            1.86|                  0.30|HARR          |glo         |     -1.645|                 |                    8|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         3084|Palomar 10       |g         |o             |19 18 02|+18 34.0| 52.432|  2.722|      0.017|         0.080|         0.140|   1.84|  -9.82|        0.34|  -31.70|         0.40|                 |             4|               88|              195|    5894|  1.666|          14.388|  0.800|  0.534| -0.020|  9.800|             |                 |            2.07|                  0.26|            25.33|                   3.51|            5.35|                  0.58|HARR          |glo         |     -0.100|                 |                   88|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         3147|ASCC 104         |          |              |19 38 58|+18 39.9| 54.890| -1.587|      0.020|         0.170|         0.400|  -0.06|  -4.65|        0.27|   -5.65|         1.65|                2|             3|              112|              617|     774|  0.333|           9.551|  0.160|  0.107| -0.020|  7.710|             |                 |            4.72|                  1.51|             7.74|                   1.10|           15.43|                 10.04|COCD          |            |           |                 |                    0|Nearby, sparse.                                                                                                                                                                                                                                          |                                  OPEN STAR CLUSTER|
|         3137|BDSB 156         |          |              |19 31 44|+18 40.8| 54.070| -0.083|      0.018|         0.055|         0.080|   0.13|  -7.78|        0.45|        |             |                 |             5|               37|               61|    3447|  1.905|          13.300|  0.915|  0.610|  0.020|  7.990|             |                 |                |                      |                 |                       |                |                      |BIRN          |irc         |           |                 |                    0|Center is shifted to 19.5290h,+18.680d.                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         3144|Teutsch 27       |          |              |19 37 22|+18 41.7| 54.730| -1.241|      0.012|         0.053|         0.090|   1.08|  -4.51|        0.60|        |             |                 |             2|               22|               57|    3600|  0.989|          13.100|  0.475|  0.317|  0.000|  8.750|        0.046|               11|            0.46|                  0.21|            11.82|                   5.89|            4.19|                  2.41|DIAS          |            |           |                 |                    0|Distance has been strongly changed compared to Dias.                                                                                                                                                                                                     |                                  OPEN STAR CLUSTER|
|          521|FSR 0861         |          |              |05 23 16|+18 44.8|185.888| -9.773|      0.018|         0.075|         0.125|   1.78|  -2.53|        0.37|        |             |                 |             3|               27|               62|    2070|  0.375|          11.700|  0.180|  0.120| -0.010|  9.025|             |                 |            0.94|                  0.30|             6.53|                   2.11|            5.03|                  1.11|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          737|FSR 0906         |          |              |06 07 47|+18 46.5|191.327| -0.731|      0.010|         0.060|         0.110|   2.17|  -7.90|        0.45|        |             |                 |             3|               41|               89|    1202|  0.625|          10.601|  0.300|  0.200| -0.020|  8.955|        0.047|                4|            0.42|                  0.15|             4.09|                   1.61|           14.54|                  4.23|FPRO          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         3200|NGC 6838         |g         |o             |19 53 46|+18 46.7| 56.745| -4.564|      0.030|         0.115|         0.220|  -0.16|  -3.93|        0.30|  -22.80|         0.20|                 |             7|               88|              274|    3999|  0.250|          13.090|  0.120|  0.080|  0.000| 10.050|             |                 |            1.87|                  0.13|            26.30|                   2.11|           25.96|                  1.61|HARR          |glo         |     -0.745|                 |                   88|M_71; PMs in center are poor/absent due to crowding.                                                                                                                                                                                                     |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|          823|FSR 0909         |          |              |06 15 44|+19 00.3|192.030|  1.028|      0.010|         0.060|         0.115|  -0.90|  -6.10|        0.47|   -2.90|         1.78|                1|             3|               28|               96|    2167|  0.687|          11.900|  0.330|  0.220|  0.000|  8.445|             |                1|            0.70|                  0.29|             9.64|                   4.33|            2.52|                  1.03|FPRO          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          816|IRAS 06117+1901  |          |              |06 14 46|+19 01.1|191.908|  0.832|      0.010|         0.045|         0.075|   0.36|  -5.16|        0.54|        |             |                 |             1|               14|               43|    2140|  0.770|          11.900|  0.370|  0.247|  0.000|  8.050|             |                1|            0.65|                  0.32|             6.84|                   2.84|            1.26|                  0.68|BIEM          |irc         |           |                 |                    0|Infra-Red source; very poor RDP.                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          731|FSR 0904         |          |              |06 07 03|+19 01.3|191.026| -0.763|      0.010|         0.045|         0.095|   1.63|  -6.72|        0.39|        |             |                 |             6|               36|              132|    1427|  0.396|          10.899|  0.190|  0.127| -0.070|  7.800|             |                1|            0.48|                  0.10|             5.34|                   1.20|           19.92|                  3.95|FPRO          |            |           |                 |                    0|Overlaps with corona of FSR_0903.                                                                                                                                                                                                                        |                                  OPEN STAR CLUSTER|
|          735|FSR 0903         |          |              |06 07 32|+19 05.7|191.018| -0.629|      0.017|         0.075|         0.130|   1.48|  -5.42|        0.29|        |             |                 |             6|               69|              161|    1633|  1.041|          11.400|  0.500|  0.333| -0.020|  8.810|        0.028|               11|            0.43|                  0.13|             7.65|                   2.56|           19.44|                  5.85|DIAS          |irc         |           |                 |                    0|Overlaps with corona of FSR_0904.                                                                                                                                                                                                                        |                                  OPEN STAR CLUSTER|
|          503|FSR 0857         |          |              |05 18 34|+19 07.2|184.949|-10.494|      0.010|         0.077|         0.125|   1.26|  -3.03|        0.47|        |             |                 |             2|               22|               48|    2056|  1.041|          11.900|  0.500|  0.333|  0.040|  8.000|             |                 |            1.34|                  0.51|             7.08|                   2.51|            2.04|                  0.51|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          416|NGC 1647         |          |              |04 45 59|+19 10.2|180.302|-16.725|      0.035|         0.450|         0.750|  -1.94|  -3.56|        0.19|   -6.12|         0.39|                1|             8|              320|              618|     572|  0.354|           8.901|  0.170|  0.113| -0.020|  8.300|        0.057|                6|            2.31|                  0.27|             9.36|                   0.93|           37.65|                  2.91|COCD          |            |           |                 |                    0|Center is shifted to 4.7665h,+19.170d.                                                                                                                                                                                                                   |                                  OPEN STAR CLUSTER|
|          730|FSR 0900         |          |              |06 06 28|+19 13.6|190.780| -0.785|      0.015|         0.080|         0.155|   1.54|  -7.95|        0.28|        |             |                 |             5|               67|              234|    3465|  0.937|          13.000|  0.450|  0.300|  0.000|  6.610|             |                 |            2.90|                  1.08|            16.34|                   5.91|            0.74|                  0.14|DIAS          |irc         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5368|MWSC 5368        |          |              |18 03 27|+19 26.8| 45.577| 19.041|      0.012|         0.065|         0.105|   0.96|  -3.30|        0.58|        |             |                 |             2|               16|               28|    2597|  0.396|          12.200|  0.190|  0.127|  0.030|  9.255|             |                 |            0.79|                  0.31|            10.10|                   4.24|            2.36|                  0.91|ARIn          |            |           |                 |                    0|Center is shifted to 18.0575h, 19.447d.                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         5764|MWSC 5764        |          |              |21 09 34|+19 29.2| 67.772|-18.876|      0.020|         0.070|         0.120|  -2.12|  -4.43|        0.62|        |             |                 |             3|               16|               27|    2297|  0.291|          11.900|  0.140|  0.093|  0.000|  9.200|             |                 |            1.60|                  0.58|             6.75|                   2.01|            1.91|                  0.52|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         3082|Berkeley 44      |          |              |19 17 14|+19 32.6| 53.209|  3.344|      0.010|         0.105|         0.195|   1.76|  -7.90|        0.19|        |             |                 |             3|              172|              477|    1978|  1.145|          11.850|  0.550|  0.367|  0.000|  9.150|             |                 |            1.24|                  0.22|            12.55|                   2.49|           10.15|                  1.25|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1527|NGC 2632         |          |              |08 40 23|+19 41.4|205.892| 32.488|      0.200|         1.810|         3.100| -36.54| -13.36|        0.11|   33.42|         0.52|               66|            24|              396|              511|     187|  0.010|           6.363|  0.005|  0.003| -0.030|  8.920|             |                 |                |                      |                 |                       |                |                      |COCD          |            |      0.094|            0.107|                   14|Praesepe, M_44.                                                                                                                                                                                                                                          |                                  OPEN STAR CLUSTER|
|          864|Bochum 1         |          |              |06 25 17|+19 46.8|192.406|  3.381|      0.010|         0.075|         0.145|  -0.93|  -2.82|        0.44|   38.00|             |                1|             3|               26|               98|    3065|  0.521|          12.600|  0.250|  0.167|  0.000|  6.600|             |                 |            1.79|                  0.49|            10.40|                   2.12|            1.11|                  0.28|DIAS          |            |           |                 |                    0|Sparse young; center is shifted to 6.4215h,+19.780d.                                                                                                                                                                                                     |                                  OPEN STAR CLUSTER|
|          490|FSR 0851         |          |              |05 14 38|+19 48.9|183.836|-10.874|      0.020|         0.085|         0.180|   1.76|  -5.22|        0.57|        |             |                 |             3|               23|               52|    1092|  0.958|          10.499|  0.460|  0.307|  0.050|  9.150|             |                 |            0.45|                  0.23|             6.86|                   3.99|            7.15|                  3.35|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5367|MWSC 5367        |          |              |18 03 10|+20 06.1| 46.189| 19.357|      0.017|         0.080|         0.155|   0.74|  -8.45|        0.60|        |             |                 |             3|               17|               51|    2044|  0.458|          11.700|  0.220|  0.147|  0.000|  9.150|             |                 |            0.82|                  0.42|            11.38|                   6.57|            2.13|                  0.94|ARIn          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         3139|FSR 0142         |          |              |19 35 35|+20 07.5| 55.773| -0.176|      0.018|         0.075|         0.155|  -2.04|  -1.23|        0.49|        |             |                 |             3|               26|              106|    2669|  1.145|          12.500|  0.550|  0.367|  0.000|  6.400|             |                 |            4.38|                  1.12|            10.62|                   1.74|            2.19|                  0.74|DIAS          |irc         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          655|NGC 2026         |          |              |05 43 06|+20 08.7|187.212| -5.074|      0.020|         0.070|         0.125|  -2.06|  -5.12|        0.40|        |             |                 |             7|               27|               87|    1226|  0.333|          10.550|  0.160|  0.107| -0.020|  8.620|             |                 |            0.39|                  0.11|             2.73|                   0.76|           43.47|                  8.50|DIAS          |non         |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|          434|FSR 0837         |r         |c             |04 54 00|+20 15.3|180.585|-14.567|      0.020|         0.085|         0.150|  -0.67|  -3.05|        0.66|        |             |                 |             3|               14|               37|    2550|  0.521|          12.200|  0.250|  0.167|  0.030|  9.065|        0.019|                4|            0.67|                  0.31|            12.34|                   6.54|            2.69|                  1.37|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         3134|NGC 6802         |          |              |19 30 36|+20 16.3| 55.337|  0.917|      0.018|         0.075|         0.155|  -2.82|  -4.41|        0.34|        |             |                 |             6|               74|              267|    1775|  0.791|          11.501|  0.380|  0.253|  0.000|  8.955|        0.022|               16|            0.64|                  0.10|             9.11|                   1.58|           33.83|                  4.83|DIAS          |            |           |                 |                    0|Center is shifted to 19.5101h,+20.272d.                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|          714|FSR 0894         |          |              |06 04 06|+20 16.8|189.588| -0.756|      0.012|         0.085|         0.140|   1.00|  -7.36|        0.28|        |             |                 |             2|               74|              183|    2886|  1.239|          12.700|  0.595|  0.397|  0.030|  7.200|             |                 |            2.07|                  0.50|            12.71|                   2.93|            1.71|                  0.27|DIAS          |irc         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5627|MWSC 5627        |          |              |04 19 10|+20 20.1|175.118|-20.860|      0.017|         0.090|         0.165|   1.56|  -7.00|        0.76|        |             |                 |             3|               13|               27|    1659|  0.312|          11.200|  0.150|  0.100| -0.005|  9.250|             |                 |            0.97|                  0.39|             9.52|                   4.19|            3.10|                  0.83|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          635|FSR 0874         |          |              |05 40 58|+20 21.4|186.769| -5.390|      0.020|         0.060|         0.118|  -0.51|  -4.83|        0.80|        |             |                 |             2|               14|               37|     912|  0.625|          10.001|  0.300|  0.200| -0.020|  8.860|             |                1|            0.18|                  0.09|             3.59|                   1.97|           24.26|                 14.97|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          764|NGC 2175         |n         |o             |06 09 41|+20 30.3|190.031|  0.499|      0.020|         0.090|         0.150|   1.92|  -7.55|        0.70|   22.00|         7.70|                 |             1|               15|               53|    1636|  0.562|          11.250|  0.270|  0.180| -0.050|  7.000|             |                 |            5.78|                  0.95|             9.17|                   0.67|            8.95|                  2.97|DIAS          |            |           |                 |                    0|Surrounded by nebulocity NGC 2174; very poor RDP.                                                                                                                                                                                                        |                                             NEBULA|
|         3213|Roslund 3        |          |              |19 58 39|+20 30.8| 58.831| -4.656|      0.020|         0.075|         0.140|  -1.72|  -5.35|        0.33|   -2.60|         0.32|               13|            10|               58|              174|    1582|  0.323|          11.100|  0.155|  0.103| -0.020|  7.700|             |                 |            0.48|                  0.17|             4.58|                   1.63|           14.15|                  4.30|COCD          |            |           |                 |                    0|Center is shifted to 19.9775h,+20.514d.                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|          902|Berkeley 23      |          |              |06 33 18|+20 31.5|192.607|  5.393|      0.010|         0.060|         0.125|  -1.36|  -2.34|        0.46|        |             |                 |             2|               22|               63|    4724|  0.400|          13.500|  0.192|  0.128|  0.000|  8.970|        0.020|               11|            1.44|                  0.32|            20.64|                   4.99|            2.09|                  0.48|DIAS          |            |      0.070|                 |                    0|Center is shifted to 6.5583h,+20.550d.                                                                                                                                                                                                                   |                                  OPEN STAR CLUSTER|
|          832|FSR 0902         |          |              |06 18 18|+20 32.4|190.964|  2.287|      0.020|         0.080|         0.155|  -0.51|  -5.50|        0.40|        |             |                 |             4|               32|               70|    1243|  0.396|          10.600|  0.190|  0.127|  0.020|  7.145|             |                1|            0.57|                  0.20|             6.95|                   2.68|           10.36|                  2.82|DIAS          |irc         |           |                 |                    0|Sparse young; the brightest members are B5 and B8.                                                                                                                                                                                                       |                                  OPEN STAR CLUSTER|
|          780|Pismis 27        |          |              |06 10 55|+20 36.9|190.074|  0.805|      0.018|         0.045|         0.100|   0.98|  -4.03|        0.66|        |             |                 |             7|               17|               56|    1664|  0.604|          11.300|  0.290|  0.193|  0.000|  8.250|        0.203|                2|            0.38|                  0.08|             5.74|                   1.25|           53.12|                 10.00|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          759|Sh2 252C         |n         |o             |06 09 21|+20 39.6|189.857|  0.504|      0.010|         0.038|         0.085|   2.77|  -9.25|        1.13|   20.75|             |                 |             2|                8|               20|    2109|  1.957|          12.250|  0.940|  0.627|  0.025|  8.250|             |                 |            0.59|                  0.31|             5.94|                   3.47|            3.45|                  1.43|BIEM          |irc         |           |                 |                    0|Large PM dispersion; posssible hole in clouds.                                                                                                                                                                                                           |                                             NEBULA|
|         3114|BDSB 13          |n         |o             |19 24 32|+20 47.7| 55.119|  2.417|      0.010|         0.055|         0.085|   1.34|  -4.57|        0.47|        |             |                 |             1|               39|               63|    1735|  2.498|          12.000|  1.200|  0.800|  0.100|  7.400|             |                 |            1.57|                  0.24|             4.18|                   0.38|           13.72|                  2.08|BOPN          |irc         |           |                 |                    0|In G55.114+2.422; PMs in center are poor/absent due to crowding.                                                                                                                                                                                         |                                             NEBULA|
|         5782|MWSC 5782        |          |              |21 46 01|+20 49.8| 75.009|-24.329|      0.020|         0.090|         0.150|   0.38| -11.60|        0.55|        |             |                 |             2|               20|               44|    1732|  0.333|          11.300|  0.160|  0.107|  0.000|  9.290|             |                 |            1.07|                  0.30|             8.61|                   2.49|            3.44|                  0.73|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|          695|Czernik 24       |          |              |05 55 26|+20 53.1|188.056| -2.212|      0.025|         0.080|         0.170|   2.81|  -6.33|        0.33|        |             |                 |             7|               41|              141|    5041|  0.583|          13.700|  0.280|  0.187| -0.040|  9.100|             |                 |            8.16|                  1.76|            19.23|                   2.61|            1.12|                  0.33|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
