GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
305.36,-3.16,13 15 16,-65 55 15,2,2,AL 1|Andrews-Lindsay 1|BH 144|ESO 96-4|MWSC 2098,OC   ,     ,                                ,REF213|REF883                                  ,8537
305.41,-33.84,23 43 23,-82 57 36,23,23,MWSC 4682,OC   ,     ,                                ,REF3031                                        ,8541
305.51,-4.32,13 17 54,-67 03 28,4,4,Harvard 8|Collinder 268|OCL 895|BH 145|ESO 96-6|FSR 1644|MWSC 2103|MWSC 2102,OC   ,     ,                                ,REF239|REF507|REF970|REF3032|REF3033           ,8547
305.92,-2.23,13 19 46,-64 56 33,3,2.5,Ruprecht 107|OCL 896|BH 146|ESO 96-8|MWSC 2108,OC   ,     ,                                ,REF239                                         ,8569
305.99,-8.62,13 29 18,-71 16 06,4,1.5,ESO 65-7|MWSC 2124,OC   ,lPOCR,adavanced dynamical stage       ,REF234|REF1015|REF3454                         ,8573
306.01,2.64,13 16 10,-60 04 26,13,13,NGC 5043|ESO 132-2|MWSC 2099,OC   ,     ,contaminated                    ,REF226|REF234|REF985                           ,8574
306.12,0.17,13 19 07,-62 31 59,1,1,Bica 659,OC   ,     ,few stars                       ,REF250                                         ,8582
306.17,-3.52,13 23 37,-66 11 21,12,12,Collinder 269|OCL 897|ESO 96-10|MWSC 2113,OC   ,     ,                                ,REF239                                         ,8584
306.49,-1.02,13 23 39,-63 40 10,2,2,Teutsch 79|DSH J1323.6-6340|MWSC 2114,OC   ,     ,                                ,REF327|REF783                                  ,8592
306.56,-26.14,17 47 04,-86 36 38,16,16,MWSC 5692,OC   ,     ,                                ,REF1098                                        ,8594
306.73,-11.49,13 45 49,-73 57 29,11,11,FSR 1647|MWSC 2159,OC   ,     ,                                ,REF507|REF970                                  ,8598
306.88,6.3,13 19 47,-56 21 05,4,4,FSR 1648|MWSC 2109,OC   ,     ,                                ,REF507                                         ,8605
307.01,-0.86,13 29 36,-63 25 00,5,5,NGC 5155|MWSC 2125,OC   ,     ,                                ,REF226|REF299|REF298|REF667                    ,8608
307.05,-5.6,13 35 39,-68 06 48,3,3,FSR 1650|MWSC 2139,OC   ,     ,                                ,REF507|REF3033                                 ,8610
307.1,-1.64,13 29 54,-64 12 05,9,6,Collinder 271|OCL 900|ESO 96-14|MWSC 2126,OC   ,     ,                                ,REF239                                         ,8612
307.22,-16.34,14 15 52,-78 30 16,9,6,ESO 21-6|MWSC 2208,OC   ,     ,                                ,REF234|REF1015                                 ,8620
307.23,29.76,13 09 14,-32 58 02,25,25,MWSC 5186,OC   ,     ,                                ,REF1098                                        ,8621
307.31,3.61,13 25 26,-58 58 20,5,5,FSR 1651|MWSC 2118,OC   ,     ,contaminated                    ,REF507|REF3033                                 ,8623
307.49,-2.07,13 34 07,-64 34 15,15,13,Loden 848|OCL 901.1|ESO 97-2|MWSC 2136,OC   ,     ,                                ,REF238|REF279                                  ,8631
307.53,3.52,13 27 17,-59 01 27,8,8,NGC 5138|Collinder 270|OCL 902|ESO 132-7|MWSC 2121,OC   ,     ,                                ,REF239                                         ,8635
307.57,-0.28,13 32 14,-62 47 30,7,5,Trumpler 21|Collinder 274|OCL 903|BH 148|ESO 96-15|MWSC 2131,OC   ,     ,in CenOB1                       ,REF239                                         ,8639
307.6,-0.23,13 32 24,-62 43 39,0.4,0.4,VVV 27|VVV-CL 027,OC   ,     ,                                ,REF903                                         ,8641
