"CWNU_id","l","b","sig_l","sig_b","n","plx","sig_plx","pmx","sig_pmx","pmy","sig_pmy","rv","sig_rv","nrv","logage","A0","m-M","class"
1271,115.223,-6.073,0.095,0.083,45,0.44,0.052,-5.097,0.086,-1.579,0.072,-47.99,,1,8.15,0.8,11.65,1
1272,276.428,1.151,0.088,0.055,26,0.387,0.035,-5.349,0.049,2.852,0.081,12.51,,1,8.15,2.5,11.8,1
1273,237.917,0.226,0.108,0.067,45,0.363,0.033,-3.228,0.083,3.154,0.083,,,0,7.55,1.25,11.95,1
1274,195.524,1.377,0.06,0.072,45,0.327,0.057,0.117,0.083,-1,0.11,34.73,1.42,2,8.9,1.3,12.1,1
1275,319.505,-1.27,0.045,0.029,45,0.347,0.071,-3.757,0.08,-2.856,0.096,,,0,6.65,5.6,12.15,1
1276,98.916,-2.338,0.137,0.06,44,0.429,0.032,-2.458,0.095,-3.151,0.088,-58.31,8.99,2,8.65,1.3,11.7,1
1277,229.72,1.855,0.056,0.064,25,0.294,0.068,-1.659,0.055,0.864,0.057,,,0,8.5,1,12.65,1
1278,149.583,0.977,0.128,0.059,44,0.298,0.028,-0.001,0.102,-1.221,0.068,-61.8,14.69,2,9,1.75,12.25,1
1279,351.445,-0.474,0.107,0.082,25,0.591,0.031,1.408,0.078,-0.507,0.086,,,0,7.05,3.8,11.2,1
1280,253.762,2.665,0.03,0.032,44,0.2,0.054,-3.315,0.056,4.18,0.083,72.04,2.07,3,8.8,1.35,13.1,1
1281,207.682,0.179,0.132,0.194,44,0.644,0.045,-1.972,0.083,0.816,0.067,,,0,7.6,1.1,10.85,1
1282,354.381,-1.454,0.037,0.023,25,0.305,0.038,-0.996,0.106,-2.502,0.091,,,0,6.2,5.05,13.15,1
1283,320.305,-1.431,0.099,0.073,25,0.357,0.045,-4.763,0.097,-3.768,0.079,-56.12,,1,6.35,2.3,12.6,1
1284,9.397,-0.549,0.029,0.024,44,0.366,0.039,-1.246,0.077,-2.594,0.057,-29.4,1.79,5,8.5,4.6,12.2,1
1285,52.74,0.553,0.058,0.042,43,0.356,0.063,-1.72,0.097,-5.49,0.056,20.1,,1,8.2,4.35,11.95,1
1286,63.813,-1.129,0.188,0.091,25,0.617,0.037,-1.182,0.031,-5.394,0.067,23.22,,1,6.65,1.1,11.15,1
1287,94.795,-1.656,0.086,0.111,43,0.227,0.017,-3.449,0.068,-3.699,0.074,-86.06,,1,6.65,2.7,13.35,1
